name_raw,n_lines,sample,norm_key,name_key,codes,ifct_names,n_candidates,bucket
Water,24,1/3 cup Water; Water - as required; 3 1/2 cups Water,water,,,,0,no_hit
Green Chilli,23,1 Green Chilli - slit; 2 Green Chilli; 2 Green Chilli,green chilli,,,,0,no_hit
Coconut milk,19,1 cup Coconut milk - thick; 3 cups Coconut milk - thin; 1 cup Coconut milk - thick,coconut milk,,,,0,no_hit
Black pepper powder,19,1/4 teaspoon Black pepper powder; 1 teaspoon Black pepper powder; 1/2 teaspoon Black pepper powder,black pepper powder,,,,0,no_hit
Shallots,18,4 to 5 Shallots; 1-1/2 cups Hung Curd (Greek Yogurt); 2 Shallots - finely chopped,shallot,,,,0,no_hit
Ghee,18,1 tablespoon Ghee; 2 tablespoons Ghee; Ghee - for cooking,ghee,ghee,T013,Ghee,1,unique
Pearl onions (Sambar Onions),17,10 Pearl onions (Sambar Onions) - finely chopped; 1 cup Pearl onions (Sambar Onions); 8 Pearl onions (Sambar Onions) - sliced,pearl onion sambar onion,,,,0,no_hit
salt,16,salt - as per taste; salt - as per taste; salt - as per taste,salt,,,,0,no_hit
Coriander (Dhania) Leaves,15,2 sprig Coriander (Dhania) Leaves - washed and finely chopped; 6 sprig Coriander (Dhania) Leaves; 3 sprig Coriander (Dhania) Leaves - finely chopped (optional),coriander dhania leaves,,,,0,no_hit
Sugar,15,3/4 cup Sugar; 1 cup Sugar; 3 tablespoons Sugar,sugar,,,,0,no_hit
Jaggery,15,1/2 cup Jaggery; 1 tablespoon Jaggery; 1/2 cup Jaggery,jaggery,,,,0,no_hit
curry leaves,14,7 curry leaves; 1 sprig curry leaves; 6 curry leaves,curry leaves,curry leaves,G010,Curry leaves,1,unique
Coriander Powder (Dhania),13,1 tablespoon Coriander Powder (Dhania); 1/2 tablespoon Coriander Powder (Dhania); 1 tablespoon Coriander Powder (Dhania),coriander powder dhania,,,,0,no_hit
Fennel seeds (Saunf),13,1 teaspoon Fennel seeds (Saunf); 1/2 teaspoon Fennel seeds (Saunf) - in case you don't have fennel seeds you could use cumin seeds; 1 teaspoon Fennel seeds (Saunf),fennel seed saunf,,,,0,no_hit
White Urad Dal (Split),12,1 teaspoon White Urad Dal (Split); 1 teaspoon White Urad Dal (Split); 1 tablespoon White Urad Dal (Split),white urad dal split,,,,0,no_hit
Whole Black Peppercorns,12,1 tablespoon Whole Black Peppercorns; 1 teaspoon Whole Black Peppercorns; 1 tablespoon Whole Black Peppercorns,whole black peppercorn,,,,0,no_hit
Tomatoes,12,3 Tomatoes - thinly sliced; 1 Tomatoes - finely chopped; 3 Tomatoes,tomato,,,,0,no_hit
Tomato,12,1 Tomato - finely chopped; 1 Tomato - chopped; 1 Tomato - chopped,tomato,,,,0,no_hit
Cinnamon Stick (Dalchini),12,1 inch Cinnamon Stick (Dalchini); 1 inch Cinnamon Stick (Dalchini); 1 inch Cinnamon Stick (Dalchini),cinnamon stick dalchini,,,,0,no_hit
Onions,11,3 Onions - thinly sliced; 2 Onions - peeled; 2 Onions - peeled and chopped,onion,,,,0,no_hit
turmeric powder,11,1/2 teaspoon turmeric powder; 1/2 teaspoon turmeric powder; 1/4 tsp turmeric powder,turmeric powder,turmeric powder,G033,Turmeric powder,1,unique
mustard,10,1/2 tsp mustard; 1 teaspoon mustard; 1/2 teaspoon mustard,mustard,,,,0,no_hit
green chillies,10,5 green chillies - finely chopped; 3 green chillies - cut straight; 2 green chillies - chopped,green chilli,,,,0,no_hit
Cardamom (Elaichi) Pods/Seeds,10,2 Cardamom (Elaichi) Pods/Seeds; 1 Cardamom (Elaichi) Pods/Seeds; 3 Cardamom (Elaichi) Pods/Seeds,cardamom elaichi pod seed,,,,0,no_hit
Lemon juice,10,1 teaspoon Lemon juice; 1 Lemon juice; 1 Lemon juice,lemon juice,lemon juice,E033,"Lemon, juice",1,unique
Methi Seeds (Fenugreek Seeds),10,1/4 teaspoon Methi Seeds (Fenugreek Seeds); 1 teaspoon Methi Seeds (Fenugreek Seeds); 1/4 teaspoon Methi Seeds (Fenugreek Seeds),methi seed fenugreek seed,,,,0,no_hit
Chicken,10,500 Chicken - medium sized pieces; 300 grams Chicken - minced; 500 grams Chicken,chicken,,,,0,no_hit
coconut,10,1 cup coconut - grated; 1 cup coconut - tighten; 1/4 cup coconut - scrape,coconut,,,,0,no_hit
Cardamom Powder (Elaichi),10,1/2 teaspoon Cardamom Powder (Elaichi); 1 teaspoon Cardamom Powder (Elaichi); 2 Cardamom Powder (Elaichi) - powdered,cardamom powder elaichi,,,,0,no_hit
Coriander (Dhania) Seeds,10,1 teaspoon Coriander (Dhania) Seeds; 2 tablespoons Coriander (Dhania) Seeds; 1 teaspoon Coriander (Dhania) Seeds,coriander dhania seed,,,,0,no_hit
Cloves (Laung),9,2 Cloves (Laung); 3 Cloves (Laung); 1/2 teaspoon Cloves (Laung) - powdered,cloves laung,,,,0,no_hit
Dry Red Chilli,9,1 Dry Red Chilli; 2 Dry Red Chilli; 2 Dry Red Chilli - broken,dry red chilli,,,,0,no_hit
Garam masala powder,9,2 teaspoons Garam masala powder; 1 teaspoon Garam masala powder; 1 teaspoon Garam masala powder,garam masala powder,,,,0,no_hit
Cashew nuts,9,10 Cashew nuts - halved; 50 grams Cashew nuts; 12 Cashew nuts,cashew nut,cashew nut,H005,Cashew nut,1,unique
Curd (Dahi / Yogurt),9,1-1/2 cups Curd (Dahi / Yogurt) - thick; 1 cup Curd (Dahi / Yogurt); 1 cup Curd (Dahi / Yogurt) - or buttermilk,curd dahi yogurt,,,,0,no_hit
Rice flour,9,1/4 cup Rice flour; 1/2 cup Rice flour; 1/2 cup Rice flour,rice flour,,,,0,no_hit
oil,8,1 tsp oil; 2 teaspoons oil; 1 tablespoon oil,oil,,,,0,no_hit
Kashmiri Red Chilli Powder,8,2 tablespoons Kashmiri Red Chilli Powder; 1 teaspoon Kashmiri Red Chilli Powder; 1/2 tablespoon Kashmiri Red Chilli Powder,kashmiri red chilli powder,,,,0,no_hit
Milk,8,2 liter Milk - full cream; 1-1/2 cups Milk; 1/4 cup Milk,milk,,,,0,no_hit
Fresh Coconut,8,3 tablespoons Fresh coconut - or dessicated coconut (grated); 6 Fresh coconut - chunks; 1-1/2 cups Fresh coconut - grated,fresh coconut,,,,0,no_hit
garlic,7,3 cloves garlic; 8 cloves garlic; 3 cloves garlic - chopped,garlic,,,,0,no_hit
Rice,7,1/2 cup Rice - raw; 1 cup Rice; 2 tablespoons Rice - raw,rice,,,,0,no_hit
Mint Leaves (Pudina),7,10 Mint Leaves (Pudina); 1/4 cup Mint Leaves (Pudina) - chopped; 2 sprig Mint Leaves (Pudina) - made to paste,mint leaf pudina,,,,0,no_hit
Potato (Aloo),6,1 Potato (Aloo) - finely diced; 1 Potato (Aloo) - peeled and diced; 2 Potato (Aloo),potato aloo,,,,0,no_hit
Red matta rice,6,1 cup Red matta rice; 1 cup Red matta rice; 1 cup Red matta rice - washed thoroughly,red matta rice,,,,0,no_hit
Elephant yam (Suran/Senai/Ratalu),6,1 Elephant yam (Suran/Senai/Ratalu) - finely diced; 2 cups Elephant yam (Suran/Senai/Ratalu) - chopped into small cubes; 1 cup Elephant yam (Suran/Senai/Ratalu) - peeled and cut lengthwise,elephant yam suran senai ratalu,,,,0,no_hit
Kokum (Malabar Tamarind),6,1 Kokum (Malabar Tamarind); 4 Kokum (Malabar Tamarind); 1 Kokum (Malabar Tamarind) - soaked,kokum malabar tamarind,,,,0,no_hit
Ginger Garlic Paste,6,1 tablespoon Ginger Garlic Paste; 1 tablespoon Ginger Garlic Paste; 1-1/2 teaspoon Ginger Garlic Paste,ginger garlic paste,,,,0,no_hit
Green beans (French Beans),6,6 Green beans (French Beans) - cut into 1 inch pieces; 10 Green beans (French Beans) -  cut lengthwise; 100 grams Green beans (French Beans) - chopped small,green bean french bean,,,,0,no_hit
coconut oil,6,1 tablespoon coconut oil; 2 Tablespoon coconut oil; 1 teaspoon coconut oil,coconut oil,coconut oil,T001,Coconut oil,1,unique
Baking soda,6,1/8 teaspoon Baking soda; 1/2 teaspoon Baking soda; 1/4 teaspoon Baking soda,baking soda,,,,0,no_hit
onions,5,2 onions - peeled; 2 onions - peel and chop; 2 onions - finely chopped,onion,,,,0,no_hit
Asafoetida (hing),5,Asafoetida (hing) - A pinch; 1 pinch Asafoetida (hing); 1/4 teaspoon Asafoetida (hing),asafoetida hing,,,,0,no_hit
small onions,5,6 small onions - chopped; 10 small onions - finely chopped; 10 small onions - cut it straight and thin,small onion,,,,0,no_hit
water,5,2-1 / 2 cups water; 1-1/2 cups Water; 1/4 cup water,water,,,,0,no_hit
Bhindi (Lady Finger/Okra),5,500 grams Bhindi (Lady Finger/Okra) - slit into half and cut into 1 inch pieces; 500 grams Bhindi (Lady Finger/Okra) - cut into 1 inch pieces; 200 grams Bhindi (Lady Finger/Okra) - cut into 1 inch pieces,bhindi lady finger okra,,,,0,no_hit
Raw Banana,5,3 Raw Banana - peeled and thinly sliced; 2 Raw Banana - boiled and diced; 1 Raw Banana - peeled and cut lengthwise,raw banana,,,,0,no_hit
cumin seeds,5,1 teaspoon cumin seeds; 1/2 teaspoon cumin seeds; 1 teaspoon cumin seeds,cumin seed,cumin seed,G025,Cumin seeds,1,unique
Carrots (Gajjar),5,2 Carrots (Gajjar) - cut lengthwise; 1/2 cup Carrots (Gajjar) - diced; 3 Carrots (Gajjar) - chopped,carrot gajjar,,,,0,no_hit
All Purpose Flour (Maida),5,1/2 cup All Purpose Flour (Maida); 1 cup All Purpose Flour (Maida); 250 grams All Purpose Flour (Maida),all purpose flour maida,,,,0,no_hit
Whole Wheat Flour,5,1/2 cup Whole Wheat Flour; 3/4 cup Whole Wheat Flour; 1/8 cup Whole Wheat Flour,whole wheat flour,,,,0,no_hit
Whole Eggs,4,2 Whole Eggs; 1 Whole Eggs; 2 Whole Eggs - hard boiled and cut to half,whole egg,,,,0,no_hit
Ripe Bananas,4,1 cup Ripe Bananas - mashed; 2 Ripe Bananas - mashed; 2 Ripe Bananas,ripe banana,,,,0,no_hit
Prawns,4,250 grams Prawns; 300 grams Prawns - shells removed and deveined; 500 grams Prawns,prawn,,,,0,no_hit
Tamarind,4,Tamarind - small lemon sized; 30 grams Tamarind; 20 grams Tamarind,tamarind,,,,0,no_hit
Methi Powder (Fenugreek Powder),4,1/2 teaspoon Methi Powder (Fenugreek Powder); 1/2 teaspoon Methi Powder (Fenugreek Powder); 1/4 teaspoon Methi Powder (Fenugreek Powder),methi powder fenugreek powder,,,,0,no_hit
Kaddu (Parangikai/ Pumpkin),4,2 cups Kaddu (Parangikai/ Pumpkin) - chopped; 300 grams Kaddu (Parangikai/ Pumpkin) - peeled and chopped; 300 grams Kaddu (Parangikai/ Pumpkin),kaddu parangikai/ pumpkin,,,,0,no_hit
Drumstick,4,1 Drumstick - chopped to about 1.5 inch; 2 Drumstick - cut lengthwise; 1 Drumstick - cut into 3 inch pieces,drumstick,drumstick,D046,Drumstick,1,unique
Chana dal (Bengal Gram Dal),4,1/2 cup Chana dal (Bengal Gram Dal); 2 tablespoons Chana dal (Bengal Gram Dal) - washed and soaked; 1 tablespoon Chana dal (Bengal Gram Dal),chana dal bengal gram dal,,,,0,no_hit
Carrot (Gajjar),4,1 Carrot (Gajjar) - finely chopped; 2 Carrot (Gajjar) - peeled and diced; 1 Carrot (Gajjar) - peeled and cubed,carrot gajjar,,,,0,no_hit
Cashew Nuts,4,4 to 5 Cashew nuts - broken; 1 cup Cashew nuts - unsalted; 6 - 8 Cashew nuts - soaked in 2 tablespoons water,cashew nut,cashew nut,H005,Cashew nut,1,unique
Mango (Ripe),4,4 Mango (Ripe); 2 Mango (Ripe); 2 Mango (Ripe) - peeled and chopped roughly (reserve the seeds),mango ripe,,,,0,no_hit
red chili powder,4,1/2 teaspoon red chili powder; 1-1 / 2 teaspoon red chilli powder; 1 tablespoon Red Chilli powder - (adjust),red chili powder,,,,0,no_hit
Cumin powder (Jeera),4,1/2 teaspoon Cumin powder (Jeera); 1/2 teaspoon Cumin powder (Jeera); 1 teaspoon Cumin powder (Jeera),cumin powder jeera,,,,0,no_hit
Fennel Powder,4,1/2 teaspoon Fennel Powder; 1 tablespoon Fennel Powder; 1 teaspoon Fennel Powder,fennel powder,,,,0,no_hit
Raisins,4,100 grams Raisins; 2 teaspoons Raisins; 7 Raisins,raisin,,,,0,no_hit
Mango (Raw),3,1 Mango (Raw) - cut into 1 inch lengthwise; 1 Mango (Raw) - peeled & chopped to bite-size; 1 Mango (Raw) - peeled and diced,mango raw,,,,0,no_hit
Arhar dal (Split Toor Dal),3,1/2 cup Arhar dal (Split Toor Dal); 1/2 cup Arhar dal (Split Toor Dal) - soaked for 30 minutes; 1/2 cup Arhar dal (Split Toor Dal),arhar dal split toor dal,,,,0,no_hit
Mutton,3,250 grams Mutton; 400 grams Mutton; 500 grams Mutton,mutton,,,,0,no_hit
Cinnamon,3,1 inch Cinnamon Stick (Dalchini); 1 inch Cinnamon Stick (Dalchini); 1 inch Cinnamon Stick (Dalchini),cinnamon,,,,0,no_hit
tamarind,3,1 tamarind - Malabar; 1 Tamarind - malabar; Tamarind - Gooseberry Sized,tamarind,,,,0,no_hit
Curry Leaves,3,Curry leaves - a sprig; Curry leaves - a few sprigs; Curry leaves - few sprigs,curry leaves,curry leaves,G010,Curry leaves,1,unique
tomatoes,3,2 tomatoes - finely chopped; 5 tomatoes - finely chopped; 4 tomatoes - chopped,tomato,,,,0,no_hit
Green Chilies,3,1 to 2 Green Chillies - slit lengthwise (use as per spice tolerance) 1/2 tablespoon kashmiri chili powder (use as per spice tolerance); 3 Green Chillies - (adjust); 5 - 6 Green Chillies,green chilie,,,,0,no_hit
Dry ginger powder,3,1/2 teaspoon Dry ginger powder; 1 tablespoon Dry ginger powder; 1 teaspoon Dry ginger powder,dry ginger powder,,,,0,no_hit
red chilli powder,3,1 teaspoon red chilli powder; 1/2 teaspoon red chilli powder; 2 tablespoons red chilli powder,red chilli powder,,,,0,no_hit
Vellai Poosanikai (Ash gourd/White Pumpkin),3,1 cup Vellai Poosanikai (Ash gourd/White Pumpkin) - cubed; 1 cup Vellai Poosanikai (Ash gourd/White Pumpkin) - cut lengthwise; 2 cups Vellai Poosanikai (Ash gourd/White Pumpkin) - cut into medium sized cubes,vellai poosanikai ash gourd white pumpkin,,,,0,no_hit
Jackfruit Ripe (Kathal),3,1 cup Jackfruit Ripe (Kathal) - chopped finely; 300 grams Jackfruit Ripe (Kathal) - chopped coarsely; 1 cup Jackfruit Ripe (Kathal) - seeds removed and chopped,jackfruit ripe kathal,,,,0,no_hit
Tapioca root,3,1 kg Tapioca root; 500 grams Tapioca root - skin peeled and chopped into small cubes; 2 Tapioca root,tapioca root,,,,0,no_hit
Yellow Moong Dal (Split),3,1/4 cup Yellow Moong Dal (Split) - washed and soaked; 1/2 cup Yellow Moong Dal (Split); 1/2 cup Yellow Moong Dal (Split),yellow moong dal split,,,,0,no_hit
onion,3,1 onion - finely chopped; 1 onion - chop; 1 onion - finely chopped,onion,,,,0,no_hit
Cooked rice,3,1 cup Cooked rice; 1/4 cup Cooked rice; 1 cup Cooked rice,cooked rice,,,,0,no_hit
Green Moong Dal (Whole),3,1 cup Green Moong Dal (Whole) - soaked for 2 hours; 1 cup Green Moong Dal (Whole); 1 cup Green Moong Dal (Whole),green moong dal whole,,,,0,no_hit
Brinjal (Baingan / Eggplant),2,1 Brinjal (Baingan / Eggplant) - finely chopped; 2 Brinjal (Baingan / Eggplant) - finely chopped (use the regular small eggplant and not the ones used for baingan bhartha),brinjal baingan eggplant,,,,0,no_hit
Active dry yeast,2,1 teaspoon Active dry yeast - soaked in luke warm water (2 tablespoon); 1 teaspoon Active dry yeast -  + 1/2 cup of luke warm water,active dry yeast,,,,0,no_hit
Bay leaf (tej patta),2,1 Bay leaf (tej patta); 1 Bay leaf (tej patta),bay leaf tej patta,,,,0,no_hit
Black Urad Dal (Split),2,1/4 teaspoon Black Urad Dal (Split); 1 teaspoon Black Urad Dal (Split),black urad dal split,,,,0,no_hit
Coconut,2,1-1 / 2 cup coconut - grated; 2 tablespoons Fresh coconut - pieces,coconut,,,,0,no_hit
raw banana,2,1/2 cup raw banana - chopped; 1 raw banana - peel and chop straight,raw banana,,,,0,no_hit
Coconut Milk,2,1/2 cup Coconut milk - or grated fresh coconut; 1-1/2 cups Coconut milk - (2nd & 3rd extract),coconut milk,,,,0,no_hit
cabbage,2,1 cabbage - finely chopped; 1 cup cabbage - wash and chop finely,cabbage,,,,0,no_hit
dry red chilies,2,2 dry red chillies - break; 2-3 Dry Red Chillies,dry red chilie,,,,0,no_hit
dry red chillies,2,3 dry red chillies - broken; 2 dry red chillies,dry red chilli,,,,0,no_hit
Chayote,2,1 Chayote - peeled and diced; 3 Chayote,chayote,,,,0,no_hit
suran,2,1/2 cup suran - chopped; 2 cups suran - chopped,suran,,,,0,no_hit
Butter (unsalted),2,5 tablespoons Butter (unsalted); 100 grams Butter (unsalted),butter unsalted,,,,0,no_hit
Coconut oil,2,Coconut oil - as per use; Oil - 5 tablespoons coconut - as per use,coconut oil,coconut oil,T001,Coconut oil,1,unique
Basmati rice,2,2 tablespoons Basmati rice - boiled; 3 cups Basmati rice - soaked for 25-35 minutes,basmati rice,,,,0,no_hit
Drumstick Leaves (Moringa/Murungai Keerai),2,1 cup Drumstick Leaves (Moringa/Murungai Keerai); 2 cups Drumstick Leaves (Moringa/Murungai Keerai) - or Murrungai Keerai,drumstick leaf moringa murungai keerai,,,,0,no_hit
rice,2,2 cups rice - soaked for 3 hours; 1 cup rice - cooked,rice,,,,0,no_hit
Cinnamon Powder (Dalchini),2,1 pinch Cinnamon Powder (Dalchini); 1 teaspoon Cinnamon Powder (Dalchini),cinnamon powder dalchini,,,,0,no_hit
green chili,2,1 green chili; green chili - chopped,green chili,,,,0,no_hit
green beans,2,20 green beans - chop; 10 green beans - cut straight,green bean,,,,0,no_hit
rye,2,1/4 tsp rye; 1 tablespoon rye,rye,,,,0,no_hit
tomato,2,1 tomato - finely chopped; 1 tomato - finely chopped,tomato,,,,0,no_hit
Cardamom (Elaichi) Pods/Seeds (powdered),2,2 Cardamom (Elaichi) Pods/Seeds - powdered; 2 Cardamom (Elaichi) Pods/Seeds - powdered,cardamom elaichi pod seed powdered,,,,0,no_hit
Dry coconut (kopra),2,2 tablespoons Dry coconut (kopra) - cut into small pieces; 1 cup Dry coconut (kopra),dry coconut kopra,,,,0,no_hit
carrots,2,3 carrots - chop; 2 carrots - cut straight,carrot,,,,0,no_hit
Green Peas (Matar),2,1-1/2 Green peas (Matar); 2 to 3 tablespoons Green peas (Matar) - fresh or frozen,green peas matar,,,,0,no_hit
Green peas (Matar),2,1/4 cup Green peas (Matar); 1/4 cup Green peas (Matar),green peas matar,,,,0,no_hit
Fish,2,1/2 kg Fish - (I have used sardine cleaned and cut); 300 gram Fish,fish,,,,0,no_hit
coriander powder,2,1/4 teaspoon coriander powder; 1/2 tablespoon coriander powder,coriander powder,,,,0,no_hit
cumin,2,1/2 teaspoon cumin; 1/2 teaspoon cumin,cumin,,,,0,no_hit
red chili,2,1 red chili; 1 red chili,red chili,,,,0,no_hit
Ginger Paste,2,1/2 tablespoon Ginger - paste; 1 teaspoon Ginger - paste,ginger paste,,,,0,no_hit
Vinegar,2,2 tablespoon Vinegar; 1/4 teaspoon Vinegar,vinegar,,,,0,no_hit
black pepper powder,2,1/4 teaspoon black pepper powder; 1 tsp black pepper powder,black pepper powder,,,,0,no_hit
Tamarind Paste,2,1 teaspoon Tamarind Paste; 2 tablespoons Tamarind Paste,tamarind paste,,,,0,no_hit
Tamarind Water,2,Tamarind Water - extract from a big lemon sized tamarind; 1 cup Tamarind Water,tamarind water,,,,0,no_hit
Jackfruit Raw (Kathal),2,1 cup Jackfruit Raw (Kathal) - chopped finely; 1 Jackfruit Raw (Kathal) - with skin shaved off,jackfruit raw kathal,,,,0,no_hit
Tutti frutti,2,1/2 cup Tutti frutti; 100 grams Tutti frutti,tutti frutti,,,,0,no_hit
Rum,2,3/4 cup Rum - or Double with orange juice; 100 ml Rum - or orange juice (adjust),rum,,,,0,no_hit
Seer fish,2,2 Seer fish - slices; 2 Seer fish - cleaned and cut,seer fish,,,,0,no_hit
Potatoes (Aloo),2,2 Potatoes (Aloo); 2 Potatoes (Aloo) - peeled and cut lengthwise,potato aloo,,,,0,no_hit
Instant Oats (Oatmeal),2,40 grams Instant Oats (Oatmeal) - Masala one; 1 cup Instant Oats (Oatmeal),instant oat oatmeal,,,,0,no_hit
Nutmeg powder,2,1 pinch Nutmeg powder; 1/4 teaspoon Nutmeg powder,nutmeg powder,,,,0,no_hit
Meat masala,2,1 tablespoon Meat masala; 1/2 teaspoon Meat masala,meat masala,,,,0,no_hit
Lukewarm Water,2,Lukewarm Water - to knead; Lukewarm Water - as required,lukewarm water,,,,0,no_hit
Lemon,2,1 Lemon - juiced; 1/2 Lemon - juiced,lemon,,,,0,no_hit
Raw papaya,2,1/2 Raw papaya; 300 grams Raw papaya - skin peeled and cut into medium sized pieces,raw papaya,,,,0,no_hit
Mustard Seeds,2,2 teaspoons Mustard seeds - ground coarsely using a mortar pestle/ spice grinder; 1-1/2 teaspoons Mustard seeds,mustard seed,mustard seed,H013,Mustard seeds,1,unique
Nendra Pazham Banana (Ripe),2,2 Nendra Pazham Banana (Ripe) - sliced into rounds; 2 Nendra Pazham Banana (Ripe),nendra pazham banana ripe,,,,0,no_hit
Kashmiri red chilli powder,2,1 teaspoon Kashmiri red chilli powder; 1/2 tablespoon Kashmiri red chilli powder,kashmiri red chilli powder,,,,0,no_hit
Badam (Almond),2,2 tablespoons Badam (Almond) - sliced or chopped; 50 grams Badam (Almond),badam almond,,,,0,no_hit
Baking powder,2,1/2 teaspoon Baking powder; 1/2 teaspoon Baking powder,baking powder,,,,0,no_hit
okra,2,25 okra; 500 grams okra - cut,okra,,,,0,no_hit
 Cardamom (Elaichi) Pods/Seeds,2,1 Cardamom (Elaichi) Pods/Seeds; 6 Cardamom (Elaichi) Pods/Seeds,cardamom elaichi pod seed,,,,0,no_hit
green coriander,1,2 tablespoons green coriander - finely chopped,green coriander,,,,0,no_hit
green peas,1,1/2 cup green peas - optional,green pea,,,,0,no_hit
hot Masala powder,1,3/4 teaspoon hot Masala powder,hot masala powder,,,,0,no_hit
instant coffee powder,1,1 tbsp instant coffee powder,instant coffee powder,,,,0,no_hit
jaggery,1,3 tbsp jaggery - Add more or less salt to taste,jaggery,,,,0,no_hit
luke warm water,1,1 teaspoon Active dry yeast -  + 1/2 cup of luke warm water,luke warm water,,,,0,no_hit
lukewarm water,1,1 tsp active dry yeast - + 1/2 cup lukewarm water,lukewarm water,,,,0,no_hit
nuggets curry leaves,1,2 nuggets curry leaves,nugget curry leaves,,,,0,no_hit
olive oil,1,1 tablespoon olive oil - as per use,olive oil,,,,0,no_hit
paprika powder,1,1/2 tablespoon paprika powder,paprika powder,,,,0,no_hit
Bajra Flour (Pearl Millet),1,1/2 cup Bajra Flour ( Pearl Millet),bajra flour pearl millet,,,,0,no_hit
white urad dal,1,1 tsp white urad dal,white urad dal,,,,0,no_hit
small onion sambar,1,1/2 cup small onion sambar,small onion sambar,,,,0,no_hit
small onion sambar ones,1,1 cup small onion sambar ones,small onion sambar one,,,,0,no_hit
Baby Potatoes,1,250 grams Baby Potatoes - halved,baby potato,,,,0,no_hit
Ash gourd,1,250 grams Ash gourd - cut straight,ash gourd,ash gourd,D001,Ash gourd,1,unique
Asafoetida (hing) - powder,1,1/4 teaspoon Asafoetida (hing) - powder,asafoetida hing powder,,,,0,no_hit
Asafoetida (hing) - a pinch,1,Asafoetida (hing) - a pinch,asafoetida hing pinch,,,,0,no_hit
Ada,1,1 cup Ada,ada,,,,0,no_hit
Rasam Powder,1,1/2 teaspoon Rasam Powder,rasam powder,,,,0,no_hit
Raw Peanuts (Moongphali),1,1/4 cup Raw Peanuts (Moongphali),raw peanut moongphali,,,,0,no_hit
Raw banana peel,1,2 Raw banana peel,raw banana peel,,,,0,no_hit
Mixed Vegetables - french beans,1,1 cup Mixed vegetables - (french beans,mixed vegetable french bean,,,,0,no_hit
Mixed Vegetables - potatoes,1,1-1/2 cups Mixed vegetables - (potatoes,mixed vegetable potato,,,,0,no_hit
Mixed nuts - Almond,1,1-1/2 cups Mixed nuts - I used almond,mixed nut almond,,,,0,no_hit
Mooli/Mullangi (Radish),1,2 Mooli/ Mullangi (Radish) - julienned and steamed,mooli mullangi radish,,,,0,no_hit
Mustard oil,1,3 teaspoon Mustard oil,mustard oil,mustard oil,T006,Mustard oil,1,unique
Mutton ,1,500 grams Mutton - with bone (adds flavour),mutton,,,,0,no_hit
Orange,1,1 Orange,orange,,,,0,no_hit
Palm sugar,1,1/4 cup Palm sugar,palm sugar,,,,0,no_hit
Papad,1,4 Papad,papad,,,,0,no_hit
Lemon Juice,1,3-4 tablespoons Lemon juice,lemon juice,lemon juice,E033,"Lemon, juice",1,unique
Mango,1,1 Mango (Ripe) - peel & slice,mango,,,,0,no_hit
Saffron strands,1,5 Saffron strands,saffron strand,,,,0,no_hit
Sambar Powder,1,2 tablespoons Sambar Powder,sambar powder,,,,0,no_hit
Sardine Fish - mati,1,500 grams Sardine fish - (mathi,sardine fish mati,,,,0,no_hit
Sardine fish,1,500 grams Sardine fish,sardine fish,,,,0,no_hit
Papaya,1,1/4 cup Papaya - cubes (optional),papaya,,,,0,no_hit
Papaya juice,1,1 cup Papaya juice - chilled,papaya juice,,,,0,no_hit
Paprika powder,1,1/2 tablespoon Paprika powder,paprika powder,,,,0,no_hit
