norm_key,n_lines,bucket,n_codes,ifct_code,ifct_name
kashmiri red chilli powder,10,unique,1,G022,"Chillies, red"
methi seed fenugreek seed,10,unique,1,G026,Fenugreek seeds
mustard,10,multiple,3,C026,Mustard leaves
mustard,10,multiple,3,H013,Mustard seeds
mustard,10,multiple,3,T006,Mustard oil
carrot gajjar,9,no_hit,0,,
cloves laung,9,unique,1,G023,Cloves
curd dahi yogurt,9,no_hit,0,,
rice,9,multiple,6,A011,"Rice, flakes"
rice,9,multiple,6,A012,"Rice, puffed"
rice,9,multiple,6,A013,"Rice, raw, brown"
rice,9,multiple,6,A014,"Rice, parboiled, milled"
rice,9,multiple,6,A015,"Rice, raw, milled"
rice,9,multiple,6,T008,Rice bran oil
rice flour,9,no_hit,0,,
milk,8,multiple,3,L001,"Milk, whole, Buffalo"
milk,8,multiple,3,L002,"Milk, whole, Cow"
milk,8,multiple,3,P037,Milk fish
potato aloo,8,no_hit,0,,
raw banana,8,no_hit,0,,
oil,8,multiple,12,T001,Coconut oil
oil,8,multiple,12,T002,Corn oil
oil,8,multiple,12,T003,Cotton seed oil
oil,8,multiple,12,T004,Gingelly oil
oil,8,multiple,12,T005,Groundnut oil
oil,8,multiple,12,T006,Mustard oil
oil,8,multiple,12,T007,Palm oil
oil,8,multiple,12,T008,Rice bran oil
oil,8,multiple,12,T009,Safflower oil
oil,8,multiple,12,T010,Safflower oil (blended)
oil,8,multiple,12,T011,Soyabean oil
oil,8,multiple,12,T012,Sunflower oil
ginger garlic paste,7,no_hit,0,,
mint leaf pudina,7,no_hit,0,,
tamarind,7,multiple,3,C034,"Tamarind leaves, tender"
tamarind,7,multiple,3,E044,Manila tamarind
tamarind,7,multiple,3,E064,"Tamarind, pulp"
baking soda,6,no_hit,0,,
elephant yam suran senai ratalu,6,unique,1,F017,"Yam, elephant"
green bean french bean,6,no_hit,0,,
kokum malabar tamarind,6,no_hit,0,,
red matta rice,6,no_hit,0,,
all purpose flour maida,5,no_hit,0,,
asafoetida hing,5,unique,1,G019,Asafoetida
bhindi lady finger okra,5,unique,1,D056,Ladies finger
drumstick,5,multiple,2,C019,Drumstick leaves
drumstick,5,multiple,2,D046,Drumstick
fennel powder,5,no_hit,0,,
whole egg,5,multiple,9,M001,"Egg, poultry, whole, raw"
whole egg,5,multiple,9,M004,"Egg, poultry, whole, boiled"
whole egg,5,multiple,9,M008,"Egg, country hen, whole, raw"
whole egg,5,multiple,9,M009,"Egg, country hen, whole, boiled"
whole egg,5,multiple,9,M011,"Egg, duck, whole, boiled"
whole egg,5,multiple,9,M012,"Egg, duck, whole, raw"
whole egg,5,multiple,9,M013,"Egg, duck, whole, omlet"
whole egg,5,multiple,9,M014,"Egg, quial, whole, raw"
whole egg,5,multiple,9,M015,"Egg, quial, whole, boiled"
whole wheat flour,5,unique,1,A020,"Wheat, whole"
cumin seed,5,unique,1,G025,Cumin seeds
small onion,5,unique,1,G018,"Onion, small"
chana dal bengal gram dal,4,unique,1,B001,"Bengal gram, dal"
cumin powder jeera,4,no_hit,0,,
green peas matar,4,no_hit,0,,
kaddu parangikai/ pumpkin,4,no_hit,0,,
mango ripe,4,multiple,7,E036,"Mango, ripe, banganapalli"
mango ripe,4,multiple,7,E037,"Mango, ripe, gulabkhas"
mango ripe,4,multiple,7,E038,"Mango, ripe, himsagar"
mango ripe,4,multiple,7,E039,"Mango, ripe, kesar"
mango ripe,4,multiple,7,E040,"Mango, ripe, neelam"
mango ripe,4,multiple,7,E041,"Mango, ripe, paheri"
mango ripe,4,multiple,7,E042,"Mango, ripe, totapari"
methi powder fenugreek powder,4,no_hit,0,,
mutton,4,no_hit,0,,
prawn,4,multiple,5,Q007,"Tiger prawns, brown"
prawn,4,multiple,5,Q008,"Tiger Prawns, orange"
prawn,4,multiple,5,S008,"Prawns, big"
prawn,4,multiple,5,S009,"Prawns, small"
prawn,4,multiple,5,S010,Tiger prawns
raisin,4,multiple,2,E057,"Raisins, dried, black"
raisin,4,multiple,2,E058,"Raisins, dried, golden"
ripe banana,4,multiple,4,E009,"Banana, ripe, montham"
ripe banana,4,multiple,4,E010,"Banana, ripe, poovam"
ripe banana,4,multiple,4,E011,"Banana, ripe, red"
ripe banana,4,multiple,4,E012,"Banana, ripe, robusta"
red chili powder,4,no_hit,0,,
active dry yeast,3,no_hit,0,,
arhar dal split toor dal,3,no_hit,0,,
bay leaf tej patta,3,no_hit,0,,
cinnamon,3,no_hit,0,,
cooked rice,3,no_hit,0,,
dry ginger powder,3,no_hit,0,,
green chilie,3,no_hit,0,,
green moong dal whole,3,no_hit,0,,
jackfruit ripe kathal,3,no_hit,0,,
lukewarm water,3,no_hit,0,,
mango raw,3,unique,1,D057,"Mango, green, raw"
tamarind water,3,no_hit,0,,
tapioca root,3,unique,1,F015,Tapioca
vellai poosanikai ash gourd white pumpkin,3,unique,1,D001,Ash gourd
yellow moong dal split,3,no_hit,0,,
coriander powder,3,no_hit,0,,
badam almond,2,unique,1,H001,Almond
baking powder,2,no_hit,0,,
basmati rice,2,no_hit,0,,
black urad dal split,2,no_hit,0,,
brinjal baingan eggplant,2,multiple,22,D010,Brinjal 1
brinjal baingan eggplant,2,multiple,22,D011,Brinjal 2
brinjal baingan eggplant,2,multiple,22,D012,Brinjal 3
brinjal baingan eggplant,2,multiple,22,D013,Brinjal 4
brinjal baingan eggplant,2,multiple,22,D014,Brinjal 5
brinjal baingan eggplant,2,multiple,22,D015,Brinjal 6
brinjal baingan eggplant,2,multiple,22,D016,Brinjal 7
brinjal baingan eggplant,2,multiple,22,D017,Brinjal 8
brinjal baingan eggplant,2,multiple,22,D018,Brinjal 9
brinjal baingan eggplant,2,multiple,22,D019,Brinjal 10
brinjal baingan eggplant,2,multiple,22,D020,Brinjal 11
brinjal baingan eggplant,2,multiple,22,D021,Brinjal 12
brinjal baingan eggplant,2,multiple,22,D022,Brinjal 13
brinjal baingan eggplant,2,multiple,22,D023,Brinjal 14
brinjal baingan eggplant,2,multiple,22,D024,Brinjal 15
brinjal baingan eggplant,2,multiple,22,D025,Brinjal 16
brinjal baingan eggplant,2,multiple,22,D026,Brinjal 17
brinjal baingan eggplant,2,multiple,22,D027,Brinjal 18
brinjal baingan eggplant,2,multiple,22,D028,Brinjal 19
brinjal baingan eggplant,2,multiple,22,D029,Brinjal 20
brinjal baingan eggplant,2,multiple,22,D030,Brinjal 21
brinjal baingan eggplant,2,multiple,22,D031,Brinjal - all varieties
butter unsalted,2,no_hit,0,,
cardamom elaichi pod seed powdered,2,no_hit,0,,
chayote,2,no_hit,0,,
cinnamon powder dalchini,2,no_hit,0,,
drumstick leaf moringa murungai keerai,2,multiple,2,C019,Drumstick leaves
drumstick leaf moringa murungai keerai,2,multiple,2,D046,Drumstick
dry red chili,2,no_hit,0,,
dry coconut kopra,2,no_hit,0,,
fish,2,multiple,15,P004,Ari fish
fish,2,multiple,15,P009,Cat fish
fish,2,multiple,15,P016,Guitar fish
fish,2,multiple,15,P030,Kite fish
fish,2,multiple,15,P037,Milk fish
fish,2,multiple,15,P038,Moon fish
fish,2,multiple,15,P051,Parrot fish
fish,2,multiple,15,P060,Queen fish
fish,2,multiple,15,P061,Raai fish
fish,2,multiple,15,P064,"Ray fish, bow head, spotted"
fish,2,multiple,15,P077,Silk fish
fish,2,multiple,15,P079,Sole fish
fish,2,multiple,15,P092,"Eggs, cat fish"
fish,2,multiple,15,S001,Cat fish
fish,2,multiple,15,S004,Gold fish
ginger paste,2,no_hit,0,,
instant coffee powder,2,no_hit,0,,
instant oat oatmeal,2,no_hit,0,,
jackfruit raw kathal,2,no_hit,0,,
lemon,2,unique,1,E033,"Lemon, juice"
meat masala,2,no_hit,0,,
nendra pazham banana ripe,2,no_hit,0,,
nutmeg powder,2,unique,1,G028,Nutmeg
paprika powder,2,no_hit,0,,
raw banana peel,2,no_hit,0,,
raw papaya,2,unique,1,D059,"Papaya, raw"
rum,2,no_hit,0,,
seer fish,2,no_hit,0,,
tamarind paste,2,no_hit,0,,
tutti frutti,2,no_hit,0,,
vinegar,2,no_hit,0,,
cabbage,2,multiple,4,C013,"Cabbage, Chinese"
cabbage,2,multiple,4,C014,"Cabbage, collard greens"
cabbage,2,multiple,4,C015,"Cabbage, green"
cabbage,2,multiple,4,C016,"Cabbage, violet"
carrot,2,multiple,2,F002,"Carrot, orange"
carrot,2,multiple,2,F003,"Carrot, red"
cumin,2,unique,1,G025,Cumin seeds
dry red chilie,2,no_hit,0,,
green bean,2,no_hit,0,,
green chili,2,no_hit,0,,
okra,2,no_hit,0,,
potato,2,multiple,5,F006,"Potato, brown skin, big"
potato,2,multiple,5,F007,"Potato, brown skin, small"
potato,2,multiple,5,F008,"Potato, red skin"
potato,2,multiple,5,F013,"Sweet potato, brown skin"
potato,2,multiple,5,F014,"Sweet potato, pink skin"
red chili,2,no_hit,0,,
rye,2,no_hit,0,,
suran,2,no_hit,0,,
tsp cumin seed,1,unique,1,G025,Cumin seeds
aachi fish masala,1,no_hit,0,,
ada,1,no_hit,0,,
asafoetida hing pinch,1,unique,1,G019,Asafoetida
asafoetida hing powder,1,unique,1,G019,Asafoetida
ash gourd,1,unique,1,D001,Ash gourd
baby potato,1,no_hit,0,,
bajra flour pearl millet,1,unique,1,A003,Bajra
banana stem,1,no_hit,0,,
banana flower vazhaipoo,1,no_hit,0,,
black eyed bean lobia,1,no_hit,0,,
brown rice,1,unique,1,A013,"Rice, raw, brown"
butter,1,no_hit,0,,
button mushroom,1,unique,1,J001,"Button mushroom, fresh"
cabbage patta gobi/ muttaikose,1,no_hit,0,,
candied orange peel,1,no_hit,0,,
caramel sauce,1,no_hit,0,,
caster sugar,1,no_hit,0,,
cauliflower gobi,1,unique,1,D036,Cauliflower
champagne,1,no_hit,0,,
chicken masala,1,no_hit,0,,
chinese potato,1,no_hit,0,,
colocasia root arbi,1,unique,1,F004,Colocasia
cooking soda,1,no_hit,0,,
crab,1,multiple,4,Q001,Crab
crab,1,multiple,4,Q002,"Crab, sea"
crab,1,multiple,4,Q005,Mud crab
crab,1,multiple,4,S007,Crab
cucumber,1,multiple,3,D043,"Cucumber, green, elongate"
cucumber,1,multiple,3,D044,"Cucumber, green, short"
cucumber,1,multiple,3,D045,"Cucumber, orange, round"
curry leaf,1,no_hit,0,,
dried fig,1,unique,1,E020,Fig
egg white,1,multiple,2,M002,"Egg, poultry, white, raw"
egg white,1,multiple,2,M005,"Egg, poultry, white, boiled"
egg yolk,1,multiple,2,M003,"Egg, poultry, yolk, raw"
egg yolk,1,multiple,2,M006,"Egg, poultry, yolk, boiled"
enos fruit salt,1,no_hit,0,,
extra virgin olive oil,1,no_hit,0,,
fish fillet,1,no_hit,0,,
galic,1,no_hit,0,,
garlic paste,1,no_hit,0,,
glazed cherry,1,no_hit,0,,
gram flour besan,1,no_hit,0,,
green chawli bean yard long bean karamani barbati,1,no_hit,0,,
guava,1,multiple,2,E028,"Guava, white flesh"
guava,1,multiple,2,E029,"Guava, pink flesh"
guava juice,1,no_hit,0,,
homemade tomato puree,1,no_hit,0,,
horse gram dal kollu/ kulith,1,no_hit,0,,
hot water,1,no_hit,0,,
icing sugar,1,no_hit,0,,
jackfruit seed kathal,1,no_hit,0,,
kala chana brown chickpea,1,no_hit,0,,
karela bitter gourd/ pavakkai,1,no_hit,0,,
kashmiri red chili powder,1,no_hit,0,,
mango,1,multiple,9,D057,"Mango, green, raw"
mango,1,multiple,9,E036,"Mango, ripe, banganapalli"
mango,1,multiple,9,E037,"Mango, ripe, gulabkhas"
mango,1,multiple,9,E038,"Mango, ripe, himsagar"
mango,1,multiple,9,E039,"Mango, ripe, kesar"
mango,1,multiple,9,E040,"Mango, ripe, neelam"
mango,1,multiple,9,E041,"Mango, ripe, paheri"
mango,1,multiple,9,E042,"Mango, ripe, totapari"
mango,1,multiple,9,G015,Mango ginger
mixed dry fruit apricot,1,no_hit,0,,
mixed vegetable french bean,1,no_hit,0,,
mixed vegetable potato,1,no_hit,0,,
mixed nut almond,1,unique,1,H001,Almond
mooli mullangi radish,1,no_hit,0,,
mustard oil,1,unique,1,T006,Mustard oil
orange,1,multiple,6,D045,"Cucumber, orange, round"
orange,1,multiple,6,D066,"Pumpkin, orange, round"
orange,1,multiple,6,E045,"Musk melon, orange flesh"
orange,1,multiple,6,E047,"Orange, pulp"
orange,1,multiple,6,F002,"Carrot, orange"
orange,1,multiple,6,Q008,"Tiger Prawns, orange"
palm sugar,1,no_hit,0,,
papad,1,no_hit,0,,
papaya,1,multiple,2,D059,"Papaya, raw"
papaya,1,multiple,2,E049,"Papaya, ripe"
papaya juice,1,no_hit,0,,
poppy seed,1,unique,1,G032,Poppy seeds
prawn tiger,1,multiple,3,Q007,"Tiger prawns, brown"
prawn tiger,1,multiple,3,Q008,"Tiger Prawns, orange"
prawn tiger,1,multiple,3,S010,Tiger prawns
ragi flour finger millet/ nagli,1,unique,1,A010,Ragi
rasam powder,1,no_hit,0,,
raw peanut moongphali,1,no_hit,0,,
red chilli flake,1,unique,1,G022,"Chillies, red"
red black eyed bean azuki,1,no_hit,0,,
rice ada,1,no_hit,0,,
rice puttu,1,no_hit,0,,
saffron strand,1,no_hit,0,,
sambar powder,1,no_hit,0,,
sardine fish mati,1,unique,1,P071,Sardine
sardine fish,1,unique,1,P071,Sardine
shrimp,1,no_hit,0,,
squid,1,multiple,4,R004,"Squid, black"
squid,1,multiple,4,R005,"Squid, hard shell"
squid,1,multiple,4,R006,"Squid, red"
squid,1,multiple,4,R007,"Squid, white, small"
sweet potato,1,multiple,2,F013,"Sweet potato, brown skin"
sweet potato,1,multiple,2,F014,"Sweet potato, pink skin"
tulsi holy basil,1,no_hit,0,,
vanilla extract,1,no_hit,0,,
vivatta maida,1,no_hit,0,,
yam,1,multiple,3,F017,"Yam, elephant"
yam,1,multiple,3,F018,"Yam, ordinary"
yam,1,multiple,3,F019,"Yam, wild"
arabic,1,no_hit,0,,
black gram,1,multiple,2,B003,"Black gram, dal"
black gram,1,multiple,2,B004,"Black gram, whole"
brinjal,1,multiple,22,D010,Brinjal 1
brinjal,1,multiple,22,D011,Brinjal 2
brinjal,1,multiple,22,D012,Brinjal 3
brinjal,1,multiple,22,D013,Brinjal 4
brinjal,1,multiple,22,D014,Brinjal 5
brinjal,1,multiple,22,D015,Brinjal 6
brinjal,1,multiple,22,D016,Brinjal 7
brinjal,1,multiple,22,D017,Brinjal 8
brinjal,1,multiple,22,D018,Brinjal 9
brinjal,1,multiple,22,D019,Brinjal 10
brinjal,1,multiple,22,D020,Brinjal 11
brinjal,1,multiple,22,D021,Brinjal 12
brinjal,1,multiple,22,D022,Brinjal 13
brinjal,1,multiple,22,D023,Brinjal 14
brinjal,1,multiple,22,D024,Brinjal 15
brinjal,1,multiple,22,D025,Brinjal 16
brinjal,1,multiple,22,D026,Brinjal 17
brinjal,1,multiple,22,D027,Brinjal 18
brinjal,1,multiple,22,D028,Brinjal 19
brinjal,1,multiple,22,D029,Brinjal 20
brinjal,1,multiple,22,D030,Brinjal 21
brinjal,1,multiple,22,D031,Brinjal - all varieties
cardamom powder,1,no_hit,0,,
cast curry leaves,1,unique,1,G010,Curry leaves
coriander,1,multiple,2,G009,Coriander leaves
coriander,1,multiple,2,G024,Coriander seeds
coriander leaves,1,unique,1,G009,Coriander leaves
cumin powder,1,no_hit,0,,
curd,1,no_hit,0,,
egg,1,multiple,16,M001,"Egg, poultry, whole, raw"
egg,1,multiple,16,M002,"Egg, poultry, white, raw"
egg,1,multiple,16,M003,"Egg, poultry, yolk, raw"
egg,1,multiple,16,M004,"Egg, poultry, whole, boiled"
egg,1,multiple,16,M005,"Egg, poultry, white, boiled"
egg,1,multiple,16,M006,"Egg, poultry, yolk, boiled"
egg,1,multiple,16,M007,"Egg, poultry, omlet"
egg,1,multiple,16,M008,"Egg, country hen, whole, raw"
egg,1,multiple,16,M009,"Egg, country hen, whole, boiled"
egg,1,multiple,16,M010,"Egg, country hen, omlet"
egg,1,multiple,16,M011,"Egg, duck, whole, boiled"
egg,1,multiple,16,M012,"Egg, duck, whole, raw"
egg,1,multiple,16,M013,"Egg, duck, whole, omlet"
egg,1,multiple,16,M014,"Egg, quial, whole, raw"
egg,1,multiple,16,M015,"Egg, quial, whole, boiled"
egg,1,multiple,16,P092,"Eggs, cat fish"
fenugreek seed,1,unique,1,G026,Fenugreek seeds
ginger powder,1,no_hit,0,,
green coriander,1,no_hit,0,,
green pea,1,no_hit,0,,
hot masala powder,1,no_hit,0,,
luke warm water,1,no_hit,0,,
nugget curry leaves,1,unique,1,G010,Curry leaves
olive oil,1,no_hit,0,,
peel,1,no_hit,0,,
pepper powder,1,no_hit,0,,
red chilli flax,1,unique,1,G022,"Chillies, red"
small onion sambar,1,unique,1,G018,"Onion, small"
small onion sambar one,1,unique,1,G018,"Onion, small"
small potato,1,unique,1,F007,"Potato, brown skin, small"
tighten it,1,no_hit,0,,
tulsi,1,no_hit,0,,
turmeric,1,unique,1,G033,Turmeric powder
white urad dal,1,no_hit,0,,
whole black pepper,1,unique,1,G031,"Pepper, black"
whole pepper,1,no_hit,0,,
