recipe_id,line_no,raw_line,regex_qty,regex_unit,regex_name,ip_name,ip_qty,ip_unit,ip_state,ip_comment,ip_purpose,patch_dry_fresh,ip_patched_name,modifier_text,flag_name,flag_qty,flag_unit,flag_state,review_flags
2,12,1 sprig Curry leaves,1,sprig,Curry leaves,Curry leaves,1,sprig,,,,,Curry leaves,,False,False,False,False,
2,13,1 Dry Red Chilli,1,,Dry Red Chilli,Dry Red Chilli,1,,,,,Dry,Dry Red Chilli,,False,False,False,False,
3,1,1/2 cup raw banana - chopped,1/2,cup,raw banana,raw banana,1/2,cup,chopped,,,,raw banana,chopped,False,False,False,False,
3,2,1/2 cup suran - chopped,1/2,cup,suran,suran,1/2,cup,chopped,,,,suran,chopped,False,False,False,False,
3,3,1/2 cup black gram,1/2,cup,black gram,black grams,1/2,cup,,,,,black grams,,True,False,False,False,name
3,4,1/2 teaspoon turmeric powder,1/2,teaspoon,turmeric powder,turmeric powder,1/2,teaspoon,,,,,turmeric powder,,False,False,False,False,
3,5,1/2 teaspoon red chili powder,1/2,teaspoon,red chili powder,red chili powder,1/2,teaspoon,,,,,red chili powder,,False,False,False,False,
3,6,salt - as per taste,,,salt,salt,,,,as per taste,,,salt,as per taste,False,False,False,True,state
3,7,1/2 2 tsp cumin seeds,1/2,,2 tsp cumin seeds,cumin seeds,1/2,,,,,,2 tsp cumin seeds,,True,False,False,False,name
3,8,1 cup coconut - grated,1,cup,coconut,coconut,1,cup,grated,,,,coconut,grated,False,False,False,False,
3,9,1/4 tsp whole black pepper,1/4,tsp,whole black pepper,whole black pepper,1/4,teaspoon,,,,,whole black pepper,,False,False,False,False,
3,10,3 cloves garlic,3,cloves,garlic,garlic,3,cloves,,,,,garlic,,False,False,False,False,
3,11,1 green chili,1,,green chili,green chili,1,,,,,,green chili,,False,False,False,False,
3,12,1 tsp oil,1,tsp,oil,oil,1,teaspoon,,,,,oil,,False,False,False,False,
3,13,1/2 tsp mustard,1/2,tsp,mustard,mustard,1/2,teaspoon,,,,,mustard,,False,False,False,False,
4,1,2 Sweet Potatoes - medium size,2,,Sweet Potatoes,Sweet Potatoes,2,,,,,,Sweet Potatoes,medium size,False,False,False,True,state
4,2,1 Onion,1,,Onion,Onion,1,,,,,,Onion,,False,False,False,False,
4,3,1/2 teaspoon Rasam Powder,1/2,teaspoon,Rasam Powder,Rasam Powder,1/2,teaspoon,,,,,Rasam Powder,,False,False,False,False,
4,4,Turmeric powder (Haldi) - a pinch,,,Turmeric powder (Haldi),Turmeric powder (Haldi),1,pinch,,,,,Turmeric powder (Haldi),a pinch,False,True,True,True,qty;unit;state
4,5,Asafoetida (hing) - a pinch,,,Asafoetida (hing),Asafoetida (hing),1,pinch,,,,,Asafoetida (hing),a pinch,False,True,True,True,qty;unit;state
4,6,Salt - to taste,,,Salt,Salt,,,,to taste,,,Salt,to taste,False,False,False,True,state
4,7,2 teaspoons Sunflower Oil,2,teaspoons,Sunflower Oil,Sunflower Oil,2,teaspoon,,,,,Sunflower Oil,,False,False,False,False,
4,8,1 teaspoon Mustard seeds,1,teaspoon,Mustard seeds,Mustard seeds,1,teaspoon,,,,,Mustard seeds,,False,False,False,False,
4,9,1 teaspoon White Urad Dal (Split),1,teaspoon,White Urad Dal (Split),White Urad Dal (Split),1,teaspoon,,,,,White Urad Dal (Split),,False,False,False,False,
4,10,1 sprig Curry leaves,1,sprig,Curry leaves,Curry leaves,1,sprig,,,,,Curry leaves,,False,False,False,False,
5,1,2 Banana flower (Vazhaipoo) - ripe,2,,Banana flower (Vazhaipoo),Banana flower (Vazhaipoo) - ripe,2,,,,,,Banana flower (Vazhaipoo) - ripe,ripe,True,False,False,True,name;state
5,2,1 cup Coconut milk - thick,1,cup,Coconut milk,Coconut milk,1,cup,,,,,Coconut milk,thick,False,False,False,True,state
5,3,3 cups Coconut milk - thin,3,cups,Coconut milk,Coconut milk,3,cup,,thin,,,Coconut milk,thin,False,False,False,True,state
5,4,1/2 cup Rice - raw,1/2,cup,Rice,Rice,1/2,cup,raw,,,,Rice,raw,False,False,False,False,
5,5,1/2 cup Chana dal (Bengal Gram Dal),1/2,cup,Chana dal (Bengal Gram Dal),Chana dal,1/2,cup,,(Bengal Grams Dal),,,Chana dal (Bengal Gram Dal),,False,False,False,False,
5,6,1/4 Onion,1/4,,Onion,Onion,1/4,,,,,,Onion,,False,False,False,False,
5,7,2 Cardamom (Elaichi) Pods/Seeds,2,,Cardamom (Elaichi) Pods/Seeds,Cardamom (Elaichi) Seeds,2,Pods,,,,,Cardamom (Elaichi) Pods/Seeds,,False,False,True,False,unit
5,8,1 cup Sugar,1,cup,Sugar,Sugar,1,cup,,,,,Sugar,,False,False,False,False,
5,9,3/4 teaspoon Salt - and some more for cooking the chana dal,3/4,teaspoon,Salt,Salt,3/4,teaspoon,,and some more,for cooking the chana dal,,Salt,and some more for cooking the chana dal,False,False,False,True,state
5,10,Water - as required,,,Water,Water,,,,as required,,,Water,as required,False,False,False,True,state
6,1,500 grams Bhindi (Lady Finger/Okra) - slit into half and cut into 1 inch pieces,500,grams,Bhindi (Lady Finger/Okra),Bhindi,500,gram,slit into half and cut into 1 inch pieces,(Lady Finger/Okra),,,Bhindi (Lady Finger/Okra),slit into half and cut into 1 inch pieces,False,False,False,False,
6,2,10 Pearl onions (Sambar Onions) - finely chopped,10,,Pearl onions (Sambar Onions),Pearl onions (Sambar Onions),10,,finely chopped,,,,Pearl onions (Sambar Onions),finely chopped,False,False,False,False,
6,3,1/4 cup Fresh coconut - grated,1/4,cup,Fresh coconut,Fresh coconut,1/4,cup,grated,,,Fresh,Fresh coconut,grated,False,False,False,False,
6,4,2 Green Chillies - finely chopped,2,,Green Chillies,Green Chillies,2,,finely chopped,,,,Green Chillies,finely chopped,False,False,False,False,
6,5,1 sprig Curry leaves,1,sprig,Curry leaves,Curry leaves,1,sprig,,,,,Curry leaves,,False,False,False,False,
6,6,1/2 teaspoon Mustard seeds,1/2,teaspoon,Mustard seeds,Mustard seeds,1/2,teaspoon,,,,,Mustard seeds,,False,False,False,False,
6,7,1/2 teaspoon Turmeric powder (Haldi),1/2,teaspoon,Turmeric powder (Haldi),Turmeric powder (Haldi),1/2,teaspoon,,,,,Turmeric powder (Haldi),,False,False,False,False,
6,8,Salt - to taste,,,Salt,Salt,,,,to taste,,,Salt,to taste,False,False,False,True,state
6,9,Sunflower Oil - for cooking,,,Sunflower Oil,Sunflower Oil,,,,,for cooking,,Sunflower Oil,for cooking,False,False,False,True,state
7,1,500 grams Bhindi (Lady Finger/Okra) - cut into 1 inch pieces,500,grams,Bhindi (Lady Finger/Okra),Bhindi Okra,500,gram,cut into 1 inch pieces,Lady Finger,,,Bhindi (Lady Finger/Okra),cut into 1 inch pieces,False,False,False,False,
7,2,1 Onion - big,1,,Onion,Onion,1,,,big,,,Onion,big,False,False,False,True,state
7,3,1 Green Chilli - slit,1,,Green Chilli,Green Chilli,1,,slit,,,,Green Chilli,slit,False,False,False,False,
7,4,1 cup Coconut milk - thick,1,cup,Coconut milk,Coconut milk,1,cup,,,,,Coconut milk,thick,False,False,False,True,state
7,5,2 teaspoons Ginger - grated,2,teaspoons,Ginger,Ginger,2,teaspoon,grated,,,,Ginger,grated,False,False,False,False,
7,6,1 teaspoon Mustard seeds,1,teaspoon,Mustard seeds,Mustard seeds,1,teaspoon,,,,,Mustard seeds,,False,False,False,False,
7,7,1 sprig Curry leaves,1,sprig,Curry leaves,Curry leaves,1,sprig,,,,,Curry leaves,,False,False,False,False,
7,8,1 tablespoon Coconut Oil,1,tablespoon,Coconut Oil,Coconut Oil,1,tablespoon,,,,,Coconut Oil,,False,False,False,False,
7,9,Salt - to taste,,,Salt,Salt,,,,to taste,,,Salt,to taste,False,False,False,True,state
8,1,1 Carrot (Gajjar) - finely chopped,1,,Carrot (Gajjar),Carrot (Gajjar),1,,finely chopped,,,,Carrot (Gajjar),finely chopped,False,False,False,False,
8,2,1 Brinjal (Baingan / Eggplant) - finely chopped,1,,Brinjal (Baingan / Eggplant),Brinjal Eggplant,1,,finely chopped,Baingan,,,Brinjal (Baingan / Eggplant),finely chopped,False,False,False,False,
8,3,1 Potato (Aloo) - finely diced,1,,Potato (Aloo),Potato (Aloo),1,,finely diced,,,,Potato (Aloo),finely diced,False,False,False,False,
8,4,1 Elephant yam (Suran/Senai/Ratalu) - finely diced,1,,Elephant yam (Suran/Senai/Ratalu),Elephant yam Ratalu,1,,finely diced,Suran/Senai,,,Elephant yam (Suran/Senai/Ratalu),finely diced,False,False,False,False,
8,5,6 Green beans (French Beans) - cut into 1 inch pieces,6,,Green beans (French Beans),Green beans,6,,cut into 1 inch pieces,(French Beans),,,Green beans (French Beans),cut into 1 inch pieces,False,False,False,False,
8,6,1 Mango (Raw) - cut into 1 inch lengthwise,1,,Mango (Raw),Mango (Raw),1,,cut into 1 inch lengthwise,,,,Mango (Raw),cut into 1 inch lengthwise,False,False,False,False,
8,7,1/4 teaspoon Turmeric powder (Haldi),1/4,teaspoon,Turmeric powder (Haldi),Turmeric powder (Haldi),1/4,teaspoon,,,,,Turmeric powder (Haldi),,False,False,False,False,
8,8,1 cup Fresh coconut - grated,1,cup,Fresh coconut,Fresh coconut,1,cup,grated,,,Fresh,Fresh coconut,grated,False,False,False,False,
8,9,1 tablespoon Ginger - juliennes,1,tablespoon,Ginger,Ginger - juliennes,1,tablespoon,,,,,Ginger - juliennes,juliennes,True,False,False,True,name;state
8,10,6 Green Chillies,6,,Green Chillies,Green Chillies,6,,,,,,Green Chillies,,False,False,False,False,
8,11,1/2 teaspoon Cumin seeds (Jeera),1/2,teaspoon,Cumin seeds (Jeera),Cumin seeds (Jeera),1/2,teaspoon,,,,,Cumin seeds (Jeera),,False,False,False,False,
8,12,1 cup Pearl onions (Sambar Onions),1,cup,Pearl onions (Sambar Onions),Pearl onions (Sambar Onions),1,cup,,,,,Pearl onions (Sambar Onions),,False,False,False,False,
8,13,2 sprig Curry leaves,2,sprig,Curry leaves,Curry leaves,2,sprigs,,,,,Curry leaves,,False,False,False,False,
8,14,1 tablespoon Coconut Oil,1,tablespoon,Coconut Oil,Coconut Oil,1,tablespoon,,,,,Coconut Oil,,False,False,False,False,
8,15,Salt - to taste,,,Salt,Salt,,,,to taste,,,Salt,to taste,False,False,False,True,state
9,1,2 Seer fish - slices,2,,Seer fish,Seer fish,2,slices,,,,,Seer fish,slices,False,False,True,True,unit;state
9,2,1/2 teaspoon Turmeric powder (Haldi),1/2,teaspoon,Turmeric powder (Haldi),Turmeric powder (Haldi),1/2,teaspoon,,,,,Turmeric powder (Haldi),,False,False,False,False,
9,3,Salt - to taste,,,Salt,Salt,,,,to taste,,,Salt,to taste,False,False,False,True,state
9,4,2 teaspoons Aachi Fish Masala,2,teaspoons,Aachi Fish Masala,Aachi Fish Masala,2,teaspoon,,,,,Aachi Fish Masala,,False,False,False,False,
9,5,1/3 cup Fresh coconut,1/3,cup,Fresh coconut,Fresh coconut,1/3,cup,,,,Fresh,Fresh coconut,,False,False,False,False,
9,6,6 cloves Garlic,6,cloves,Garlic,Garlic,6,cloves,,,,,Garlic,,False,False,False,False,
9,7,1 inch Ginger,1,inch,Ginger,Ginger,,,,,,,Ginger,,False,True,True,False,qty;unit
9,8,2 sprig Coriander (Dhania) Leaves - washed and finely chopped,2,sprig,Coriander (Dhania) Leaves,Coriander (Dhania),2,sprigs,washed and finely chopped,Leaves,,,Coriander (Dhania) Leaves,washed and finely chopped,False,False,False,False,
9,9,1 Tomato - finely chopped,1,,Tomato,Tomato,1,,finely chopped,,,,Tomato,finely chopped,False,False,False,False,
9,10,1 inch Cinnamon Stick (Dalchini),1,inch,Cinnamon Stick (Dalchini),Cinnamon Sticks (Dalchini),,,,,,,Cinnamon Sticks (Dalchini),,True,True,True,False,name;qty;unit
9,11,2 Cloves (Laung),2,Cloves,(Laung),Cloves,2,,,(Laung),,,Cloves,,True,False,True,False,name;unit
9,12,1 Kokum (Malabar Tamarind),1,,Kokum (Malabar Tamarind),Kokum (Malabar Tamarind),1,,,,,,Kokum (Malabar Tamarind),,False,False,False,False,
9,13,2 tablespoons Coconut Oil,2,tablespoons,Coconut Oil,Coconut Oil,2,tablespoon,,,,,Coconut Oil,,False,False,False,False,
9,14,3 sprig Curry leaves,3,sprig,Curry leaves,Curry leaves,3,sprigs,,,,,Curry leaves,,False,False,False,False,
9,15,8 Pearl onions (Sambar Onions) - sliced,8,,Pearl onions (Sambar Onions),Pearl onions (Sambar Onions),8,,sliced,,,,Pearl onions (Sambar Onions),sliced,False,False,False,False,
9,16,2 tablespoons Sambar Powder,2,tablespoons,Sambar Powder,Sambar Powder,2,tablespoon,,,,,Sambar Powder,,False,False,False,False,
10,1,1 kg Tapioca root,1,kg,Tapioca root,Tapioca root,1,kilogram,,,,,Tapioca root,,False,False,False,False,
10,2,1 cup Fresh coconut - grated,1,cup,Fresh coconut,Fresh coconut,1,cup,grated,,,Fresh,Fresh coconut,grated,False,False,False,False,
10,3,4 to 5 Shallots,4to5,,Shallots,Shallots,4,,,,,,Shallots,,False,True,False,False,qty
10,4,2 Green Chillies - chopped,2,,Green Chillies,Green Chillies,2,,chopped,,,,Green Chillies,chopped,False,False,False,False,
10,5,1-1/2 cups Hung Curd (Greek Yogurt),1-1/2,cups,Hung Curd (Greek Yogurt),Hung Curd (Greek Yogurt),1/2,cup,,,,,Hung Curd (Greek Yogurt),,False,True,False,False,qty
10,6,Salt - to taste,,,Salt,Salt,,,,to taste,,,Salt,to taste,False,False,False,True,state
11,1,2 cups rice - soaked for 3 hours,2,cups,rice,rice,2,cup,soaked for 3 hours,,,,rice,soaked for 3 hours,False,False,False,False,
11,2,1 cup rice - cooked,1,cup,rice,rice,1,cup,cooked,,,,rice,cooked,False,False,False,False,
11,3,1 cup coconut - tighten,1,cup,coconut,coconut - tighten,1,cup,,,,,coconut - tighten,tighten,True,False,False,True,name;state
11,4,1 tsp active dry yeast - + 1/2 cup lukewarm water,1,tsp,active dry yeast,active dry yeast; water,1,teaspoon,lukewarm,,,Dry,active dry yeast; water,+ 1/2 cup lukewarm water,True,False,False,False,name
11,5,2 tbsp sugar,2,tbsp,sugar,sugar,2,tablespoon,,,,,sugar,,False,False,False,False,
11,6,salt - as per taste,,,salt,salt,,,,as per taste,,,salt,as per taste,False,False,False,True,state
12,1,1-1/2 cups Milk,1-1/2,cups,Milk,Milk,1/2,cup,,,,,Milk,,False,True,False,False,qty
12,2,1 cup Coconut milk,1,cup,Coconut milk,Coconut milk,1,cup,,,,,Coconut milk,,False,False,False,False,
12,3,1/4 cup Yellow Moong Dal (Split) - washed and soaked,1/4,cup,Yellow Moong Dal (Split),Yellow Moong Dal (Split),1/4,cup,washed and soaked,,,,Yellow Moong Dal (Split),washed and soaked,False,False,False,False,
12,4,2 tablespoons Chana dal (Bengal Gram Dal) - washed and soaked,2,tablespoons,Chana dal (Bengal Gram Dal),Chana dal,2,tablespoon,washed and soaked,(Bengal Grams Dal),,,Chana dal (Bengal Gram Dal),washed and soaked,False,False,False,False,
12,5,2 tablespoons Fresh coconut - grated,2,tablespoons,Fresh coconut,Fresh coconut,2,tablespoon,grated,,,Fresh,Fresh coconut,grated,False,False,False,False,
12,6,1/2 cup Jaggery,1/2,cup,Jaggery,Jaggery,1/2,cup,,,,,Jaggery,,False,False,False,False,
12,7,10 Cashew nuts - halved,10,,Cashew nuts,Cashew nuts,10,,halved,,,,Cashew nuts,halved,False,False,False,False,
12,8,1 teaspoon Cardamom Powder (Elaichi),1,teaspoon,Cardamom Powder (Elaichi),Cardamom Powder (Elaichi),1,teaspoon,,,,,Cardamom Powder (Elaichi),,False,False,False,False,
12,9,2 tablespoons Ghee,2,tablespoons,Ghee,Ghee,2,tablespoon,,,,,Ghee,,False,False,False,False,
13,1,2 Nendra Pazham Banana (Ripe) - sliced into rounds,2,,Nendra Pazham Banana (Ripe),Nendra Pazham Banana (Ripe),2,,sliced into rounds,,,,Nendra Pazham Banana (Ripe),sliced into rounds,False,False,False,False,
13,2,1/4 teaspoon Turmeric powder (Haldi),1/4,teaspoon,Turmeric powder (Haldi),Turmeric powder (Haldi),1/4,teaspoon,,,,,Turmeric powder (Haldi),,False,False,False,False,
13,3,Salt - to taste,,,Salt,Salt,,,,to taste,,,Salt,to taste,False,False,False,True,state
13,4,1 cup Curd (Dahi / Yogurt),1,cup,Curd (Dahi / Yogurt),Curd,1,cup,,(Dahi/Yogurt),,,Curd (Dahi / Yogurt),,False,False,False,False,
13,5,Coconut Oil - for cooking,,,Coconut Oil,Coconut Oil,,,,,for cooking,,Coconut Oil,for cooking,False,False,False,True,state
13,6,1/2 cup Fresh coconut,1/2,cup,Fresh coconut,Fresh coconut,1/2,cup,,,,Fresh,Fresh coconut,,False,False,False,False,
13,7,2 Green Chilli,2,,Green Chilli,Green Chilli,2,,,,,,Green Chilli,,False,False,False,False,
13,8,1 sprig Curry leaves,1,sprig,Curry leaves,Curry leaves,1,sprig,,,,,Curry leaves,,False,False,False,False,
13,9,1 teaspoon Cumin seeds (Jeera),1,teaspoon,Cumin seeds (Jeera),Cumin seeds (Jeera),1,teaspoon,,,,,Cumin seeds (Jeera),,False,False,False,False,
13,10,1 teaspoon Mustard seeds,1,teaspoon,Mustard seeds,Mustard seeds,1,teaspoon,,,,,Mustard seeds,,False,False,False,False,
13,11,1 sprig Curry leaves,1,sprig,Curry leaves,Curry leaves,1,sprig,,,,,Curry leaves,,False,False,False,False,
13,12,1 teaspoon White Urad Dal (Split),1,teaspoon,White Urad Dal (Split),White Urad Dal (Split),1,teaspoon,,,,,White Urad Dal (Split),,False,False,False,False,
13,13,Sunflower Oil - for tempering,,,Sunflower Oil,Sunflower Oil,,,,,for tempering,,Sunflower Oil,for tempering,False,False,False,True,state
14,1,500 Chicken - medium sized pieces,500,,Chicken,Chicken; sized pieces,500,,,,,,Chicken; sized pieces,medium sized pieces,True,False,False,True,name;state
14,2,1 Onion - roughly chopped,1,,Onion,Onion,1,,roughly chopped,,,,Onion,roughly chopped,False,False,False,False,
14,3,1 inch Ginger - grated,1,inch,Ginger,Ginger,,,grated,,,,Ginger,grated,False,True,True,False,qty;unit
14,4,6 cloves Garlic - finely chopped,6,cloves,Garlic,Garlic,6,cloves,finely chopped,,,,Garlic,finely chopped,False,False,False,False,
14,5,1 teaspoon Mustard seeds,1,teaspoon,Mustard seeds,Mustard seeds,1,teaspoon,,,,,Mustard seeds,,False,False,False,False,
14,6,8 Curry leaves,8,,Curry leaves,Curry leaves,8,,,,,,Curry leaves,,False,False,False,False,
14,7,Coconut Oil,,,Coconut Oil,Coconut Oil,,,,,,,Coconut Oil,,False,False,False,False,
14,8,Salt - as per taste,,,Salt,Salt,,,,as per taste,,,Salt,as per taste,False,False,False,True,state
14,9,1/2 cup Coconut milk - or grated fresh coconut,1/2,cup,Coconut milk,Coconut milk; fresh coconut,1/2,cup,grated,,,Fresh,Coconut milk; fresh coconut,or grated fresh coconut,True,False,False,False,name
14,10,1 tablespoon Whole Black Peppercorns,1,tablespoon,Whole Black Peppercorns,Whole Black Peppercorns,1,tablespoon,,,,,Whole Black Peppercorns,,False,False,False,False,
14,11,1 teaspoon Coriander (Dhania) Seeds,1,teaspoon,Coriander (Dhania) Seeds,Coriander (Dhania) Seeds,1,teaspoon,,,,,Coriander (Dhania) Seeds,,False,False,False,False,
14,12,1 inch Cinnamon Stick (Dalchini),1,inch,Cinnamon Stick (Dalchini),Cinnamon Sticks (Dalchini),,,,,,,Cinnamon Sticks (Dalchini),,True,True,True,False,name;qty;unit
14,13,1 teaspoon Fennel seeds (Saunf),1,teaspoon,Fennel seeds (Saunf),Fennel seeds (Saunf),1,teaspoon,,,,,Fennel seeds (Saunf),,False,False,False,False,
14,14,2 Dry Red Chillies,2,,Dry Red Chillies,Dry Red Chillies,2,,,,,Dry,Dry Red Chillies,,False,False,False,False,
15,1,1 cup Mixed vegetables - (french beans,1,cup,Mixed vegetables,Mixed vegetables - french beans,1,cup,,,,,Mixed vegetables - french beans,(french beans,True,False,False,True,name;state
15,2,1/4 cup Raw Peanuts (Moongphali),1/4,cup,Raw Peanuts (Moongphali),Raw Peanuts (Moongphali),1/4,cup,,,,,Raw Peanuts (Moongphali),,False,False,False,False,
15,3,1/2 cup Arhar dal (Split Toor Dal),1/2,cup,Arhar dal (Split Toor Dal),Arhar dal (Split Toor Dal),1/2,cup,,,,,Arhar dal (Split Toor Dal),,False,False,False,False,
15,4,Salt - to taste,,,Salt,Salt,,,,to taste,,,Salt,to taste,False,False,False,True,state
15,5,1 tablespoon Jaggery,1,tablespoon,Jaggery,Jaggery,1,tablespoon,,,,,Jaggery,,False,False,False,False,
15,6,1/4 cup Fresh coconut - grated,1/4,cup,Fresh coconut,Fresh coconut,1/4,cup,grated,,,Fresh,Fresh coconut,grated,False,False,False,False,
15,7,6 Dry Red Chillies,6,,Dry Red Chillies,Dry Red Chillies,6,,,,,Dry,Dry Red Chillies,,False,False,False,False,
15,8,1 tablespoon Chana dal (Bengal Gram Dal),1,tablespoon,Chana dal (Bengal Gram Dal),Chana dal,1,tablespoon,,(Bengal Grams Dal),,,Chana dal (Bengal Gram Dal),,False,False,False,False,
15,9,1 tablespoon White Urad Dal (Split),1,tablespoon,White Urad Dal (Split),White Urad Dal (Split),1,tablespoon,,,,,White Urad Dal (Split),,False,False,False,False,
15,10,1 inch Cinnamon Stick (Dalchini),1,inch,Cinnamon Stick (Dalchini),Cinnamon Sticks (Dalchini),,,,,,,Cinnamon Sticks (Dalchini),,True,True,True,False,name;qty;unit
15,11,1 tablespoon Sunflower Oil,1,tablespoon,Sunflower Oil,Sunflower Oil,1,tablespoon,,,,,Sunflower Oil,,False,False,False,False,
15,12,1 teaspoon Mustard seeds,1,teaspoon,Mustard seeds,Mustard seeds,1,teaspoon,,,,,Mustard seeds,,False,False,False,False,
15,13,Asafoetida (hing) - A pinch,,,Asafoetida (hing),Asafoetida (hing),1,pinch,,,,,Asafoetida (hing),A pinch,False,True,True,True,qty;unit;state
15,14,Curry leaves - as required,,,Curry leaves,Curry leaves,,,,as required,,,Curry leaves,as required,False,False,False,True,state
16,1,250 gm arabic - wash now,250,gm,arabic,arabic,250,gm,,wash now,,,arabic,wash now,False,False,False,True,state
16,2,peel,,,peel,peel,,,,,,,peel,,False,False,False,False,
16,3,1 tamarind - Malabar,1,,tamarind,tamarind - Malabar,1,,,,,,tamarind - Malabar,Malabar,True,False,False,True,name;state
16,4,salt - as per taste,,,salt,salt,,,,as per taste,,,salt,as per taste,False,False,False,True,state
16,5,1/4 cup coconut - scrape,1/4,cup,coconut,coconut - scrape,1/4,cup,,,,,coconut - scrape,scrape,True,False,False,True,name;state
16,6,1 teaspoon red chilli powder,1,teaspoon,red chilli powder,red chilli powder,1,teaspoon,,,,,red chilli powder,,False,False,False,False,
16,7,2 onions - peeled,2,,onions,onions,2,,peeled,,,,onions,peeled,False,False,False,False,
16,8,1 tablespoon coconut oil,1,tablespoon,coconut oil,coconut oil,1,tablespoon,,,,,coconut oil,,False,False,False,False,
16,9,2 onions - peel and chop,2,,onions,onions,2,,,peel and chop,,,onions,peel and chop,False,False,False,True,state
16,10,1 teaspoon mustard,1,teaspoon,mustard,mustard,1,teaspoon,,,,,mustard,,False,False,False,False,
16,11,1 teaspoon cumin seeds,1,teaspoon,cumin seeds,cumin seeds,1,teaspoon,,,,,cumin seeds,,False,False,False,False,
16,12,2 dry red chillies - break,2,,dry red chillies,dry red chillies - break,2,,,,,Dry,dry red chillies - break,break,True,False,False,True,name;state
16,13,7 curry leaves,7,,curry leaves,curry leaves,7,,,,,,curry leaves,,False,False,False,False,
17,1,300 grams Chicken - minced,300,grams,Chicken,Chicken,300,gram,minced,,,,Chicken,minced,False,False,False,False,
17,2,1 Onion - sliced,1,,Onion,Onion,1,,sliced,,,,Onion,sliced,False,False,False,False,
17,3,1 sprig Curry leaves,1,sprig,Curry leaves,Curry leaves,1,sprig,,,,,Curry leaves,,False,False,False,False,
17,4,4 cloves Garlic - chopped,4,cloves,Garlic,Garlic,4,cloves,chopped,,,,Garlic,chopped,False,False,False,False,
17,5,1 inch Ginger - chopped,1,inch,Ginger,Ginger,,,chopped,,,,Ginger,chopped,False,True,True,False,qty;unit
17,6,1 teaspoon Turmeric powder (Haldi),1,teaspoon,Turmeric powder (Haldi),Turmeric powder (Haldi),1,teaspoon,,,,,Turmeric powder (Haldi),,False,False,False,False,
17,7,2 teaspoons Red Chilli powder,2,teaspoons,Red Chilli powder,Red Chilli powder,2,teaspoon,,,,,Red Chilli powder,,False,False,False,False,
17,8,2 teaspoons Garam masala powder,2,teaspoons,Garam masala powder,Garam masala powder,2,teaspoon,,,,,Garam masala powder,,False,False,False,False,
17,9,1 teaspoon Black pepper powder,1,teaspoon,Black pepper powder,Black pepper powder,1,teaspoon,,,,,Black pepper powder,,False,False,False,False,
