norm_key,n_lines,generic_name,link_rule,link_confidence,n_candidates,candidate_codes,candidate_names,ifct_code,food_group,status,notes,chosen_ifct_code,rank_found,hierarchical,reviewer_notes
water,29,Water,subset,0.8,5,E065;E066;F016;K002;S003,"Water melon, dark green (sugar baby);Water melon, pale green;Water Chestnut;Coconut water;Fresh water Eel",,,absent,not an IFCT food; melon/coconut hits are modifier collisions,,,,Zero macro count (USDA?)
coconut milk,23,Coconut milk,partial,0.5,7,H006;H007;K002;L001;L002;P037;T001,"Coconut, kernel, dry;Coconut, kernel, fresh;Coconut water;Milk, whole, Buffalo;Milk, whole, Cow;Milk fish;Coconut oil",,,absent,not in IFCT; derive from H007 or USDA,,,,gather from USDA
black pepper powder,21,Black pepper powder,subset,0.8,1,G031,"Pepper, black",G031,Condiments and Spices,auto,,G031,1,Y,Whole peppercorn is not powder-specific; flag for future conisderation
ghee,18,Ghee,exact,1,1,T013,Ghee,T013,Edible Oils and Fats,auto,,T013,1,N,
shallot,18,Shallots,none,,0,,,,,no_candidate,no candidate at any rung,,,,gather from USDA
pearl onion sambar onion,17,Pearl onions (Sambar Onions),partial,0.5,3,D058;G017;G018,"Onion, stalk;Onion, big;Onion, small",,,needs_partial,3 ranked candidates,G018,1,N,pearl/sambar liekly refers to small onions 
jaggery,16,Jaggery,subset,0.8,1,I001,"Jaggery, cane",I001,Sugars,auto,,I001,1,N,
sugar,16,Sugar,subset,0.8,1,E065,"Water melon, dark green (sugar baby)",,,absent,refined sugar not in IFCT; melon hit is a modifier collision,,,,gather from USDA
coriander dhania leaves,15,Coriander (Dhania) Leaves,subset,0.8,1,G009,Coriander leaves,G009,Condiments and Spices,auto,,G009,1,N,
coriander powder dhania,14,Coriander Powder (Dhania),partial,0.5,3,G009;G024;G033,Coriander leaves;Coriander seeds;Turmeric powder,,,needs_partial,3 ranked candidates,G024,2,N,"powder = ground seed, not leaf "
cashew nut,13,Cashew nuts,exact,1,1,H005,Cashew nut,H005,Nuts and Oil Seeds,auto,,H005,1,N,
fennel seed saunf,13,Fennel seeds (Saunf),partial,0.5,8,G024;G025;G026;G032;H013;H017;H019;H020,Coriander seeds;Cumin seeds;Fenugreek seeds;Poppy seeds;Mustard seeds;Pine seeds;Safflower seeds;Sunflower seeds,,,absent,8 ranked candidates,,,,gather from USDA
white urad dal split,13,White Urad Dal (Split),partial,0.5,3,B006;B013;P057,"Cowpea, white;Lentil, dal;Pomfret, white",,,miss,3 ranked candidates,B004,1,Y,urad dal = black gram
cardamom elaichi pod seed,12,Cardamom (Elaichi) Pods/Seeds,partial,0.5,10,G020;G021;G024;G025;G026;G032;H013;H017;H019;H020,"Cardamom, green;Cardamom, black;Coriander seeds;Cumin seeds;Fenugreek seeds;Poppy seeds;Mustard seeds;Pine seeds;Safflower seeds;Sunflower seeds",,,needs_partial,10 ranked candidates,G020,1,N,default to green cardamom (likely more common)
cinnamon stick dalchini,12,Cinnamon Stick (Dalchini),none,,0,,,,,no_candidate,no candidate at any rung,,,,gather from USDA
coconut,12,coconut,subset,0.8,4,H006;H007;K002;T001,"Coconut, kernel, dry;Coconut, kernel, fresh;Coconut water;Coconut oil",,,needs_name_fix,candidates span 3 food groups,H007,2,N,
whole black peppercorn,12,Whole Black Peppercorns,partial,0.667,10,B004;A020;B018;E013;E015;G021;G031;P006;P055;R004,"Black gram, whole;Wheat, whole;Rajmah, black;Black berry;Currants, black;Cardamom, black;Pepper, black;Black snapper;Pomfret, black;Squid, black",,,needs_partial,10 ranked candidates,G031,7,N,
turmeric powder,12,turmeric powder,exact,1,1,G033,Turmeric powder,G033,Condiments and Spices,auto,,G033,1,N,
lemon juice,11,Lemon juice,exact,1,1,E033,"Lemon, juice",E033,Fruits,auto,,E033,1,N,
cardamom powder elaichi,10,Cardamom Powder (Elaichi),partial,0.5,3,G020;G021;G033,"Cardamom, green;Cardamom, black;Turmeric powder",,,needs_partial,3 ranked candidates,G020,1,Y,elaichi' defaults to green cardamom 
chicken,10,Chicken,subset,0.8,7,J002;N001;N002;N003;N004;N005;N006,"Chicken mushroom, fresh;Chicken, poultry, leg, skinless;Chicken, poultry, thigh, skinless;Chicken, poultry, breast, skinless;Chicken, poultry, wing, skinless;Poultry, chicken, liver;Poultry, chicken, gizzard",,,needs_name_fix,candidates span 2 food groups,N002,3,N,defaulted to thigh; check USDA for general
coriander dhania seed,10,Coriander (Dhania) Seeds,subset,0.8,1,G024,Coriander seeds,G024,Condiments and Spices,auto,,G024,1,N,
garam masala powder,10,Garam masala powder,partial,0.5,1,G033,Turmeric powder,,,miss,1 ranked candidates,,,,False single candidate match
kashmiri red chilli powder,10,Kashmiri Red Chilli Powder,subset,0.8,1,G022,"Chillies, red",G022,Condiments and Spices,auto,,G022,1,N,"G022 is the whole/raw chilli entry, not a powder-specific row"
methi seed fenugreek seed,10,Methi Seeds (Fenugreek Seeds),subset,0.8,1,G026,Fenugreek seeds,G026,Condiments and Spices,auto,,G026,1,N,
mustard,10,mustard,subset,0.8,3,C026;H013;T006,Mustard leaves;Mustard seeds;Mustard oil,,,needs_name_fix,candidates span 3 food groups,H013,2,N,mustard defaults to seed (rather than the condiment)
carrot gajjar,9,Carrots (Gajjar),partial,0.5,2,F002;F003,"Carrot, orange;Carrot, red",,,needs_partial,2 ranked candidates,F002,1,N,default to orange
cloves laung,9,Cloves (Laung),subset,0.8,1,G023,Cloves,G023,Condiments and Spices,auto,,G023,1,N,
curd dahi yogurt,9,Curd (Dahi / Yogurt),none,,0,,,,,absent,no curd row in Milk & Milk Products; USDA fallback,,,,default to USDA
rice,9,Rice,subset,0.8,6,A011;A012;A013;A014;A015;T008,"Rice, flakes;Rice, puffed;Rice, raw, brown;Rice, parboiled, milled;Rice, raw, milled;Rice bran oil",,,needs_name_fix,candidates span 2 food groups,A014,4,N,parboiled is likely more standard than raw rice
rice flour,9,Rice flour,partial,0.5,8,A011;A012;A013;A014;A015;A018;A019;T008,"Rice, flakes;Rice, puffed;Rice, raw, brown;Rice, parboiled, milled;Rice, raw, milled;Wheat flour, refined;Wheat flour, atta;Rice bran oil",,,miss,8 ranked candidates,,,,default to USDA
milk,8,Milk,subset,0.8,3,L001;L002;P037,"Milk, whole, Buffalo;Milk, whole, Cow;Milk fish",,,needs_name_fix,candidates span 2 food groups,L002,2,N,Whole Milk
potato aloo,8,Potato (Aloo),partial,0.5,5,F006;F007;F008;F013;F014,"Potato, brown skin, big;Potato, brown skin, small;Potato, red skin;Sweet potato, brown skin;Sweet potato, pink skin",,,needs_partial,5 ranked candidates,F006,1,N,Default to brown-skinned as other types are likely less common
raw banana,8,Raw Banana,partial,0.5,15,A013;A015;D051;D057;D059;E009;E010;E011;E012;M001;M002;M003;M008;M012;M014,"Rice, raw, brown;Rice, raw, milled;Jack fruit, raw;Mango, green, raw;Papaya, raw;Banana, ripe, montham;Banana, ripe, poovam;Banana, ripe, red;Banana, ripe, robusta;Egg, poultry, whole, raw;Egg, poultry, white, raw;Egg, poultry, yolk, raw;Egg, country hen, whole, raw;Egg, duck, whole, raw;Egg, quial, whole, raw",,,miss,15 ranked candidates,D063,1,N,Defaulted to Raw variant of plaintain
oil,8,oil,subset,0.8,12,T001;T002;T003;T004;T005;T006;T007;T008;T009;T010;T011;T012,Coconut oil;Corn oil;Cotton seed oil;Gingelly oil;Groundnut oil;Mustard oil;Palm oil;Rice bran oil;Safflower oil;Safflower oil (blended);Soyabean oil;Sunflower oil,,,needs_pick,"12 varieties, no IFCT aggregate row",T001,1,N,defaulted to coconut oil for base fat (worth rescanning recipe base) 
ginger garlic paste,7,Ginger Garlic Paste,partial,0.5,2,G014;G015,"Ginger, fresh;Mango ginger",,,miss,2 ranked candidates,,,,ginger garlic paste is a specific blend - USDA
mint leaf pudina,7,Mint Leaves (Pudina),partial,0.5,4,C019;C020;C031;G016,Drumstick leaves;Fenugreek leaves;Radish leaves;Mint leaves,,,needs_partial,4 ranked candidates,G016,4,N,
tamarind,7,Tamarind,subset,0.8,3,C034;E044;E064,"Tamarind leaves, tender;Manila tamarind;Tamarind, pulp",,,needs_name_fix,candidates span 2 food groups,E064,3,N,pulp is more accurate than leaves or manila
baking soda,6,Baking soda,none,,0,,,,,no_candidate,no candidate at any rung,,,,
elephant yam suran senai ratalu,6,Elephant yam (Suran/Senai/Ratalu),subset,0.8,1,F017,"Yam, elephant",F017,Roots and Tubers,auto,,F017,1,N,
green bean french bean,6,Green beans (French Beans),partial,0.667,20,D049;D050;B016;C015;D032;D033;D039;D063;D074;D077;E002;G001;G002;G003;G004;G005;G006;G007;G008;G020,"French beans, country;French beans, hybrid;Moth bean;Cabbage, green;Broad beans;Capsicum, green;Cluster beans;Plantain, green;Tomato, green;Zucchini, green;Apple, green;Chillies, green-1;Chillies, green-2;Chillies, green-3;Chillies, green-4;Chillies, green-5;Chillies, green-6;Chillies, green-7;Chillies, green - all varieties;Cardamom, green",,,needs_partial,20 ranked candidates,D050,2,N,default to hybrid
kokum malabar tamarind,6,Kokum (Malabar Tamarind),partial,0.5,2,E044;E064,"Manila tamarind;Tamarind, pulp",,,miss,2 ranked candidates,,,,kokum != tamarind
red matta rice,6,Red matta rice,partial,0.5,9,A011;A012;B020;D034;E014;F003;G022;P065;R006,"Rice, flakes;Rice, puffed;Rajmah, red;Capsicum, red;Cherries, red;Carrot, red;Chillies, red;Red snapper;Squid, red",,,miss,9 ranked candidates,,,,matta/red not in IFCT
all purpose flour maida,5,All Purpose Flour (Maida),none,,0,,,,,miss,no candidate at any rung,A018,1,N,maida = refined wheat flour
asafoetida hing,5,Asafoetida (hing),subset,0.8,1,G019,Asafoetida,G019,Condiments and Spices,auto,,G019,1,N,
bhindi lady finger okra,5,Bhindi (Lady Finger/Okra),subset,0.8,1,D056,Ladies finger,D056,Other Vegetables,auto,,D056,1,N,
drumstick,5,Drumstick,exact,1,1,D046,Drumstick,D046,Other Vegetables,auto,,D046,1,N,
fennel powder,5,Fennel Powder,partial,0.5,1,G033,Turmeric powder,,,miss,1 ranked candidates,,,,gather from USDA
whole egg,5,Whole Eggs,subset,0.8,9,M001;M004;M008;M009;M011;M012;M013;M014;M015,"Egg, poultry, whole, raw;Egg, poultry, whole, boiled;Egg, country hen, whole, raw;Egg, country hen, whole, boiled;Egg, duck, whole, boiled;Egg, duck, whole, raw;Egg, duck, whole, omlet;Egg, quial, whole, raw;Egg, quial, whole, boiled",,,needs_pick,"9 varieties, no IFCT aggregate row",M001,1,N,
whole wheat flour,5,Whole Wheat Flour,subset,0.8,1,A020,"Wheat, whole",A020,Cereals and Millets,auto,,A020,1,N,
cumin seed,5,cumin seeds,exact,1,1,G025,Cumin seeds,G025,Condiments and Spices,auto,,G025,1,N,
small onion,5,small onions,tokenset,0.9,1,G018,"Onion, small",G018,Condiments and Spices,auto,,G018,1,N,
chana dal bengal gram dal,4,Chana dal (Bengal Gram Dal),subset,0.8,1,B001,"Bengal gram, dal",B001,Grain Legumes,auto,,B001,1,N,
cumin powder jeera,4,Cumin powder (Jeera),partial,0.5,2,G025;G033,Cumin seeds;Turmeric powder,,,needs_partial,2 ranked candidates,G025,1,N,Cumin seed is not in powder form 
green peas matar,4,Green Peas (Matar),partial,0.5,15,C015;D033;D063;D074;D077;E002;G001;G002;G003;G004;G005;G006;G007;G008;G020,"Cabbage, green;Capsicum, green;Plantain, green;Tomato, green;Zucchini, green;Apple, green;Chillies, green-1;Chillies, green-2;Chillies, green-3;Chillies, green-4;Chillies, green-5;Chillies, green-6;Chillies, green-7;Chillies, green - all varieties;Cardamom, green",,,miss,15 ranked candidates,B017,1,Y,difficult to distinguish between dry/fresh peaas
kaddu parangikai/ pumpkin,4,Kaddu (Parangikai/ Pumpkin),none,,0,,,,,miss,no candidate at any rung,D066,1,N,failure on language terms 
mango ripe,4,Mango (Ripe),subset,0.8,7,E036;E037;E038;E039;E040;E041;E042,"Mango, ripe, banganapalli;Mango, ripe, gulabkhas;Mango, ripe, himsagar;Mango, ripe, kesar;Mango, ripe, neelam;Mango, ripe, paheri;Mango, ripe, totapari",,,needs_pick,"7 varieties, no IFCT aggregate row",E036,1,N,default to banganapalli
methi powder fenugreek powder,4,Methi Powder (Fenugreek Powder),partial,0.5,3,C020;G026;G033,Fenugreek leaves;Fenugreek seeds;Turmeric powder,,,needs_partial,3 ranked candidates,G033,3,N,fenugreek seed - not powder
mutton,4,Mutton,none,,0,,,,,no_candidate,no candidate at any rung,O016,1,N,"mutton =  sheep in IFCT, default to leg"
prawn,4,Prawns,subset,0.8,5,Q007;Q008;S008;S009;S010,"Tiger prawns, brown;Tiger Prawns, orange;Prawns, big;Prawns, small;Tiger prawns",,,needs_name_fix,candidates span 2 food groups,S008,3,N,default to large prawns
raisin,4,Raisins,subset,0.8,2,E057;E058,"Raisins, dried, black;Raisins, dried, golden",,,needs_pick,"2 varieties, no IFCT aggregate row",E057,1,N,default to black raisins
ripe banana,4,Ripe Bananas,subset,0.8,4,E009;E010;E011;E012,"Banana, ripe, montham;Banana, ripe, poovam;Banana, ripe, red;Banana, ripe, robusta",,,needs_pick,"4 varieties, no IFCT aggregate row",E010,2,N,default to poovam
red chili powder,4,red chili powder,partial,0.5,8,B020;D034;E014;F003;G022;G033;P065;R006,"Rajmah, red;Capsicum, red;Cherries, red;Carrot, red;Chillies, red;Turmeric powder;Red snapper;Squid, red",,,needs_partial,8 ranked candidates,G022,5,N,"G022 is the whole/raw chilli entry, not a powder-specific row"
active dry yeast,3,Active dry yeast,partial,0.5,2,A006;B017,"Maize, dry;Peas, dry",,,miss,2 ranked candidates,,,,USDA 
arhar dal split toor dal,3,Arhar dal (Split Toor Dal),partial,0.5,1,B013,"Lentil, dal",,,miss,1 ranked candidates,B021,1,N,confirmed via lang column; Arhar Dal is red gram
bay leaf tej patta,3,Bay leaf (tej patta),partial,0.5,3,C019;C020;C031,Drumstick leaves;Fenugreek leaves;Radish leaves,,,needs_partial,3 ranked candidates,,,,
cinnamon,3,Cinnamon,none,,0,,,,,no_candidate,no candidate at any rung,,,,USDA
cooked rice,3,Cooked rice,partial,0.5,6,A011;A012;A013;A014;A015;T008,"Rice, flakes;Rice, puffed;Rice, raw, brown;Rice, parboiled, milled;Rice, raw, milled;Rice bran oil",,,needs_partial,6 ranked candidates,A014,4,N,cooked=parboiled
dry ginger powder,3,Dry ginger powder,partial,0.5,5,A006;B017;G014;G015;G033,"Maize, dry;Peas, dry;Ginger, fresh;Mango ginger;Turmeric powder",,,needs_partial,5 ranked candidates,G014,3,N,dry ginger powder is different from raw ginger. USDA
green chilie,3,Green Chilies,partial,0.5,38,B010;B011;C002;C004;C005;C006;C015;C018;C022;D007;D008;D009;D033;D041;D043;D044;D057;D063;D065;D070;D071;D074;D077;E002;E023;E026;E065;E066;G001;G002;G003;G004;G005;G006;G007;G008;G020;R001,"Green gram, dal;Green gram, whole;Amaranth leaves, green;Amaranth leaves, red and green;Amaranth, spinous, leaves, green;Amaranth, spinous, leaves, red and green;Cabbage, green;Colocasia leaves, green;Gogu leaves, green stem;Bottle gourd, elongate, pale green;Bottle gourd, round, pale green;Bottle gourd, elongate, dark green;Capsicum, green;Colocasia, stem, green;Cucumber, green, elongate;Cucumber, green, short;Mango, green, raw;Plantain, green;Pumpkin, green, cylindrical;Snake gourd, long, pale green;Snake gourd, long, dark green;Tomato, green;Zucchini, green;Apple, green;Grapes, seeded, round, green;Grapes, seedless, round, green;Water melon, dark green (sugar baby);Water melon, pale green;Chillies, green-1;Chillies, green-2;Chillies, green-3;Chillies, green-4;Chillies, green-5;Chillies, green-6;Chillies, green-7;Chillies, green - all varieties;Cardamom, green;Clam, green shell",,,needs_partial,38 ranked candidates,G008,35,N,all varities  
green moong dal whole,3,Green Moong Dal (Whole),partial,0.667,19,B010;B011;A020;B013;C015;D033;D063;D074;D077;E002;G001;G002;G003;G004;G005;G006;G007;G008;G020,"Green gram, dal;Green gram, whole;Wheat, whole;Lentil, dal;Cabbage, green;Capsicum, green;Plantain, green;Tomato, green;Zucchini, green;Apple, green;Chillies, green-1;Chillies, green-2;Chillies, green-3;Chillies, green-4;Chillies, green-5;Chillies, green-6;Chillies, green-7;Chillies, green - all varieties;Cardamom, green",,,needs_partial,19 ranked candidates,B010,1,N,
jackfruit ripe kathal,3,Jackfruit Ripe (Kathal),partial,0.5,1,E049,"Papaya, ripe",,,miss,1 ranked candidates,,,,"raw jackfuit in IFCT, different from ripe"
lukewarm water,3,Lukewarm Water,partial,0.5,5,E065;E066;F016;K002;S003,"Water melon, dark green (sugar baby);Water melon, pale green;Water Chestnut;Coconut water;Fresh water Eel",,,miss,5 ranked candidates,,,,USDA
mango raw,3,Mango (Raw),subset,0.8,1,D057,"Mango, green, raw",D057,Other Vegetables,auto,,D057,1,N,
tamarind water,3,Tamarind Water,partial,0.5,8,C034;E044;E064;E065;E066;F016;K002;S003,"Tamarind leaves, tender;Manila tamarind;Tamarind, pulp;Water melon, dark green (sugar baby);Water melon, pale green;Water Chestnut;Coconut water;Fresh water Eel",,,miss,8 ranked candidates,,,,tamarind + water
tapioca root,3,Tapioca root,subset,0.8,1,F015,Tapioca,F015,Roots and Tubers,miss,,,,,tapioca differs from tapioca root
vellai poosanikai ash gourd white pumpkin,3,Vellai Poosanikai (Ash gourd/White Pumpkin),subset,0.8,1,D001,Ash gourd,D001,Other Vegetables,auto,,D001,1,N,
yellow moong dal split,3,Yellow Moong Dal (Split),partial,0.5,3,B013;D035;D078,"Lentil, dal;Capsicum, yellow;Zucchini, yellow",,,needs_partial,3 ranked candidates,B010,1,N,moong dal = green dal
coriander powder,3,coriander powder,partial,0.5,3,G009;G024;G033,Coriander leaves;Coriander seeds;Turmeric powder,,,needs_partial,3 ranked candidates,G024,1,N,coriander seed != powder
badam almond,2,Badam (Almond),subset,0.8,1,H001,Almond,H001,Nuts and Oil Seeds,auto,,H001,1,N,
baking powder,2,Baking powder,partial,0.5,1,G033,Turmeric powder,,,miss,1 ranked candidates,,,,USDA
basmati rice,2,Basmati rice,partial,0.5,6,A011;A012;A013;A014;A015;T008,"Rice, flakes;Rice, puffed;Rice, raw, brown;Rice, parboiled, milled;Rice, raw, milled;Rice bran oil",,,needs_partial,6 ranked candidates,A015,5,N,general milled rice variant 
black urad dal split,2,Black Urad Dal (Split),partial,0.667,10,B003;B013;B018;E013;E015;G021;G031;P006;P055;R004,"Black gram, dal;Lentil, dal;Rajmah, black;Black berry;Currants, black;Cardamom, black;Pepper, black;Black snapper;Pomfret, black;Squid, black",,,needs_partial,10 ranked candidates,B003,1,N,
brinjal baingan eggplant,2,Brinjal (Baingan / Eggplant),subset,0.8,22,D010;D011;D012;D013;D014;D015;D016;D017;D018;D019;D020;D021;D022;D023;D024;D025;D026;D027;D028;D029;D030;D031,Brinjal 1;Brinjal 2;Brinjal 3;Brinjal 4;Brinjal 5;Brinjal 6;Brinjal 7;Brinjal 8;Brinjal 9;Brinjal 10;Brinjal 11;Brinjal 12;Brinjal 13;Brinjal 14;Brinjal 15;Brinjal 16;Brinjal 17;Brinjal 18;Brinjal 19;Brinjal 20;Brinjal 21;Brinjal - all varieties,D031,Other Vegetables,auto,IFCT 'all varieties' aggregate,D031,21,N,all varities  
butter unsalted,2,Butter (unsalted),none,,0,,,,,no_candidate,no candidate at any rung,,,,USDA
cardamom elaichi pod seed powdered,2,Cardamom (Elaichi) Pods/Seeds (powdered),partial,0.5,10,G020;G021;G024;G025;G026;G032;H013;H017;H019;H020,"Cardamom, green;Cardamom, black;Coriander seeds;Cumin seeds;Fenugreek seeds;Poppy seeds;Mustard seeds;Pine seeds;Safflower seeds;Sunflower seeds",,,needs_partial,10 ranked candidates,G020,1,N,general green cardamom
chayote,2,Chayote,none,,0,,,,,miss,no candidate at any rung,D038,1,N,cho-cho-marrow is the same as chayote
cinnamon powder dalchini,2,Cinnamon Powder (Dalchini),partial,0.5,1,G033,Turmeric powder,,,miss,1 ranked candidates,,,,USDA
drumstick leaf moringa murungai keerai,2,Drumstick Leaves (Moringa/Murungai Keerai),subset,0.8,2,C019;D046,Drumstick leaves;Drumstick,,,needs_name_fix,candidates span 2 food groups,C019,1,N,
dry red chili,2,Dry Red Chili,partial,0.5,9,A006;B017;B020;D034;E014;F003;G022;P065;R006,"Maize, dry;Peas, dry;Rajmah, red;Capsicum, red;Cherries, red;Carrot, red;Chillies, red;Red snapper;Squid, red",,,needs_partial,9 ranked candidates,G022,7,N,"requires ""dry"" variant"
dry coconut kopra,2,Dry coconut (kopra),partial,0.667,5,H006;A006;B017;K002;T001,"Coconut, kernel, dry;Maize, dry;Peas, dry;Coconut water;Coconut oil",,,needs_partial,5 ranked candidates,H006,1,N,Kopra = kernal
fish,1,Fish,subset,0.8,15,P004;P009;P016;P030;P037;P038;P051;P060;P061;P064;P077;P079;P092;S001;S004,"Ari fish;Cat fish;Guitar fish;Kite fish;Milk fish;Moon fish;Parrot fish;Queen fish;Raai fish;Ray fish, bow head, spotted;Silk fish;Sole fish;Eggs, cat fish;Cat fish;Gold fish",,,miss,candidates span 2 food groups,,,,"Requires ""general dish"" variant"
ginger paste,2,Ginger Paste,partial,0.5,2,G014;G015,"Ginger, fresh;Mango ginger",,,needs_partial,2 ranked candidates,G014,1,Y,"paste != fresh ginger, note"
instant coffee powder,2,Instant Coffee Powder,partial,0.5,1,G033,Turmeric powder,,,miss,1 ranked candidates,,,,USDA
instant oat oatmeal,2,Instant Oats (Oatmeal),none,,0,,,,,no_candidate,no candidate at any rung,,,,USDA
jackfruit raw kathal,2,Jackfruit Raw (Kathal),partial,0.5,1,D059,"Papaya, raw",,,miss,1 ranked candidates,D051,1,N,mismatch
lemon,2,Lemon,subset,0.8,1,E033,"Lemon, juice",E033,Fruits,miss,,,,,lemon != lemon juice
meat masala,2,Meat masala,partial,0.5,6,N011;N012;N013;N014;N015;O001,"Duck, meat, with skin;Emu, meat, skinless;Guinea fowl, meat, with skin;Pigeon, meat, with skin;Quail, meat, skinless;Goat, shoulder, meat",,,miss,6 ranked candidates,,,,requires USDA or other
nendra pazham banana ripe,2,Nendra Pazham Banana (Ripe),partial,0.667,5,E009;E010;E011;E012;E049,"Banana, ripe, montham;Banana, ripe, poovam;Banana, ripe, red;Banana, ripe, robusta;Papaya, ripe",,,needs_partial,5 ranked candidates,E009,1,N,default to montham
nutmeg powder,2,Nutmeg powder,subset,0.8,1,G028,Nutmeg,G028,Condiments and Spices,auto,,G028,1,N,nutmeg/nutmeg powder distinction 
paprika powder,2,Paprika powder,partial,0.5,1,G033,Turmeric powder,,,absent,1 ranked candidates,,,,USDA
raw banana peel,2,Raw banana peel,partial,0.5,1,D059,"Papaya, raw",,,absent,1 ranked candidates,,,,USDA
raw papaya,2,Raw papaya,tokenset,0.9,1,D059,"Papaya, raw",D059,Other Vegetables,auto,,D059,1,N,
rum,2,Rum,none,,0,,,,,absent,no candidate at any rung,,,,USDA
seer fish,2,Seer fish,partial,0.5,15,P004;P009;P016;P030;P037;P038;P051;P060;P061;P064;P077;P079;P092;S001;S004,"Ari fish;Cat fish;Guitar fish;Kite fish;Milk fish;Moon fish;Parrot fish;Queen fish;Raai fish;Ray fish, bow head, spotted;Silk fish;Sole fish;Eggs, cat fish;Cat fish;Gold fish",,,miss,15 ranked candidates,P087,1,N,panjaram = seer fish 
tamarind paste,2,Tamarind Paste,partial,0.5,3,C034;E044;E064,"Tamarind leaves, tender;Manila tamarind;Tamarind, pulp",,,needs_partial,3 ranked candidates,E064,3,N,"Paste != pulp, recheck"
tutti frutti,2,Tutti frutti,none,,0,,,,,absent,no candidate at any rung,,,,This is candied raw papaya
vinegar,2,Vinegar,none,,0,,,,,absent,no candidate at any rung,,,,USDA
cabbage,2,cabbage,subset,0.8,4,C013;C014;C015;C016,"Cabbage, Chinese;Cabbage, collard greens;Cabbage, green;Cabbage, violet",,,needs_pick,"4 varieties, no IFCT aggregate row",C015,3,N,default to green cabbage
carrot,2,carrots,subset,0.8,2,F002;F003,"Carrot, orange;Carrot, red",,,needs_pick,"2 varieties, no IFCT aggregate row",F002,1,N,default to orange carrot
cumin,2,cumin,subset,0.8,1,G025,Cumin seeds,G025,Condiments and Spices,auto,,G025,1,N,Cumin seed/cumin powder? 
dry red chilie,2,dry red chilies,partial,0.5,9,A006;B017;B020;D034;E014;F003;G022;P065;R006,"Maize, dry;Peas, dry;Rajmah, red;Capsicum, red;Cherries, red;Carrot, red;Chillies, red;Red snapper;Squid, red",,,needs_partial,9 ranked candidates,G022,7,N,dry variant
