norm_key,n_lines,generic_name,status,link_rule,ifct_code,food_group,n_candidates,candidate_codes,candidate_names,successor_key,chosen_ifct_code,rank_found,hierarchical,reviewer_notes
tamarind,7,Tamarind,review,subset,,,3,C034;E044;E064,"Tamarind leaves, tender;Manila tamarind;Tamarind, pulp",,E064,3,N,pulp is more accurate than leaves or manila
baking soda,6,Baking soda,none,none,,,0,,,,,absent,,
cumin seed,6,cumin seeds,auto,exact,G025,Condiments and Spices,1,G025,Cumin seeds,,G025,1,N,
elephant yam suran senai ratalu,6,Elephant yam (Suran/Senai/Ratalu),auto,subset,F017,Roots and Tubers,1,F017,"Yam, elephant",,F017,1,N,
green bean french bean,6,Green beans (French Beans),review,partial,,,20,D049;D050;B016;C015;D032;D033;D039;D063;D074;D077;E002;G001;G002;G003;G004;G005;G006;G007;G008;G020,"French beans, country;French beans, hybrid;Moth bean;Cabbage, green;Broad beans;Capsicum, green;Cluster beans;Plantain, green;Tomato, green;Zucchini, green;Apple, green;Chillies, green-1;Chillies, green-2;Chillies, green-3;Chillies, green-4;Chillies, green-5;Chillies, green-6;Chillies, green-7;Chillies, green - all varieties;Cardamom, green",,D050,2,Y,default to hybrid
kokum malabar tamarind,6,Kokum (Malabar Tamarind),review,partial,,,2,E044;E064,"Manila tamarind;Tamarind, pulp",,,absent,,kokum != tamarind
red matta rice,6,Red matta rice,review,partial,,,9,A011;A012;B020;D034;E014;F003;G022;P065;R006,"Rice, flakes;Rice, puffed;Rajmah, red;Capsicum, red;Cherries, red;Carrot, red;Chillies, red;Red snapper;Squid, red",,,absent,,matta/red not in IFCT
all purpose flour maida,5,All Purpose Flour (Maida),none,none,,,0,,,,A018,miss,N,maida = refined wheat flour
bhindi lady finger okra,5,Bhindi (Lady Finger/Okra),auto,subset,D056,Other Vegetables,1,D056,Ladies finger,,D056,1,N,
drumstick,5,Drumstick,auto,exact,D046,Other Vegetables,1,D046,Drumstick,,D046,1,N,
fennel powder,5,Fennel Powder,review,partial,,,1,G033,Turmeric powder,,,absent,,gather from USDA
mango ripe,5,Mango (Ripe),review,subset,,,7,E036;E037;E038;E039;E040;E041;E042,"Mango, ripe, banganapalli;Mango, ripe, gulabkhas;Mango, ripe, himsagar;Mango, ripe, kesar;Mango, ripe, neelam;Mango, ripe, paheri;Mango, ripe, totapari",,E036,1,Y,default to banganapalli
prawn,5,Prawns,review,subset,,,5,Q007;Q008;S008;S009;S010,"Tiger prawns, brown;Tiger Prawns, orange;Prawns, big;Prawns, small;Tiger prawns",,S008,3,Y,default to large prawns
whole egg,5,Whole Eggs,review,subset,,,9,M001;M004;M008;M009;M011;M012;M013;M014;M015,"Egg, poultry, whole, raw;Egg, poultry, whole, boiled;Egg, country hen, whole, raw;Egg, country hen, whole, boiled;Egg, duck, whole, boiled;Egg, duck, whole, raw;Egg, duck, whole, omlet;Egg, quial, whole, raw;Egg, quial, whole, boiled",,M001,1,N,
whole wheat flour,5,Whole Wheat Flour,auto,subset,A020,Cereals and Millets,1,A020,"Wheat, whole",,A020,1,N,
small onion,5,small onions,auto,tokenset,G018,Condiments and Spices,1,G018,"Onion, small",,G018,1,N,
chana dal bengal gram dal,4,Chana dal (Bengal Gram Dal),auto,subset,B001,Grain Legumes,1,B001,"Bengal gram, dal",,B001,1,N,
cumin powder jeera,4,Cumin powder (Jeera),review,partial,,,2,G025;G033,Cumin seeds;Turmeric powder,,G025,1,N,Cumin seed is not in powder form 
green peas matar,4,Green peas (Matar),review,partial,,,15,C015;D033;D063;D074;D077;E002;G001;G002;G003;G004;G005;G006;G007;G008;G020,"Cabbage, green;Capsicum, green;Plantain, green;Tomato, green;Zucchini, green;Apple, green;Chillies, green-1;Chillies, green-2;Chillies, green-3;Chillies, green-4;Chillies, green-5;Chillies, green-6;Chillies, green-7;Chillies, green - all varieties;Cardamom, green",,B017,miss,Y,difficult to distinguish between dry/fresh peaas
kaddu parangikai/ pumpkin,4,Kaddu (Parangikai/ Pumpkin),none,none,,,0,,,,D066,miss,N,failure on language terms 
methi powder fenugreek powder,4,Methi Powder (Fenugreek Powder),review,partial,,,3,C020;G026;G033,Fenugreek leaves;Fenugreek seeds;Turmeric powder,,G026,2,N,fenugreek seed - not powder
mutton,4,Mutton,none,none,,,0,,,,O016,miss,Y,"mutton =  sheep in IFCT, default to leg"
raisin,4,Raisins,review,subset,,,2,E057;E058,"Raisins, dried, black;Raisins, dried, golden",,E057,1,Y,default to black raisins
ripe banana,4,Ripe Bananas,review,subset,,,4,E009;E010;E011;E012,"Banana, ripe, montham;Banana, ripe, poovam;Banana, ripe, red;Banana, ripe, robusta",,E010,2,Y,default to poovam
active dry yeast,3,Active dry yeast,review,partial,,,2,A006;B017,"Maize, dry;Peas, dry",,,absent,,USDA 
arhar dal split toor dal,3,Arhar dal (Split Toor Dal),review,partial,,,1,B013,"Lentil, dal",,B021,miss,N,confirmed via lang column; Arhar Dal is red gram
bay leaf tej patta,3,Bay leaf (tej patta),review,partial,,,3,C019;C020;C031,Drumstick leaves;Fenugreek leaves;Radish leaves,,,absent,,
cooked rice,3,Cooked rice,review,partial,,,6,A011;A012;A013;A014;A015;T008,"Rice, flakes;Rice, puffed;Rice, raw, brown;Rice, parboiled, milled;Rice, raw, milled;Rice bran oil",,A014,4,N,cooked=parboiled
dry ginger powder,3,Dry ginger powder,review,partial,,,5,A006;B017;G014;G015;G033,"Maize, dry;Peas, dry;Ginger, fresh;Mango ginger;Turmeric powder",,G014,3,N,dry ginger powder is different from raw ginger. USDA
green moong dal whole,3,Green Moong Dal (Whole),review,partial,,,19,B010;B011;A020;B013;C015;D033;D063;D074;D077;E002;G001;G002;G003;G004;G005;G006;G007;G008;G020,"Green gram, dal;Green gram, whole;Wheat, whole;Lentil, dal;Cabbage, green;Capsicum, green;Plantain, green;Tomato, green;Zucchini, green;Apple, green;Chillies, green-1;Chillies, green-2;Chillies, green-3;Chillies, green-4;Chillies, green-5;Chillies, green-6;Chillies, green-7;Chillies, green - all varieties;Cardamom, green",,B010,1,N,
jackfruit ripe kathal,3,Jackfruit Ripe (Kathal),review,partial,,,1,E049,"Papaya, ripe",,,absent,,"raw jackfuit in IFCT, different from ripe"
lukewarm water,3,Lukewarm Water,review,partial,,,5,E065;E066;F016;K002;S003,"Water melon, dark green (sugar baby);Water melon, pale green;Water Chestnut;Coconut water;Fresh water Eel",,,absent,,USDA
mango raw,3,Mango (Raw),auto,subset,D057,Other Vegetables,1,D057,"Mango, green, raw",,D057,1,N,
tamarind water,3,Tamarind Water,review,partial,,,8,C034;E044;E064;E065;E066;F016;K002;S003,"Tamarind leaves, tender;Manila tamarind;Tamarind, pulp;Water melon, dark green (sugar baby);Water melon, pale green;Water Chestnut;Coconut water;Fresh water Eel",,,absent,,tamarind + water
tapioca root,3,Tapioca root,auto,subset,F015,Roots and Tubers,1,F015,Tapioca,,,absent,,tapioca differs from tapioca root
vellai poosanikai ash gourd white pumpkin,3,Vellai Poosanikai (Ash gourd/White Pumpkin),auto,subset,D001,Other Vegetables,1,D001,Ash gourd,,D001,1,N,
yellow moong dal split,3,Yellow Moong Dal (Split),review,partial,,,3,B013;D035;D078,"Lentil, dal;Capsicum, yellow;Zucchini, yellow",,B010,miss,N,moong dal = green dal
coriander powder,3,coriander powder,review,partial,,,3,G009;G024;G033,Coriander leaves;Coriander seeds;Turmeric powder,,G024,2,N,coriander seed != powder
badam almond,2,Badam (Almond),auto,subset,H001,Nuts and Oil Seeds,1,H001,Almond,,H001,1,N,
baking powder,2,Baking powder,review,partial,,,1,G033,Turmeric powder,,,absent,,USDA
basmati rice,2,Basmati rice,review,partial,,,6,A011;A012;A013;A014;A015;T008,"Rice, flakes;Rice, puffed;Rice, raw, brown;Rice, parboiled, milled;Rice, raw, milled;Rice bran oil",,A015,5,N,general milled rice variant 
black urad dal split,2,Black Urad Dal (Split),review,partial,,,10,B003;B013;B018;E013;E015;G021;G031;P006;P055;R004,"Black gram, dal;Lentil, dal;Rajmah, black;Black berry;Currants, black;Cardamom, black;Pepper, black;Black snapper;Pomfret, black;Squid, black",,B003,1,N,
brinjal baingan eggplant,2,Brinjal (Baingan / Eggplant),auto,subset,D031,Other Vegetables,22,D010;D011;D012;D013;D014;D015;D016;D017;D018;D019;D020;D021;D022;D023;D024;D025;D026;D027;D028;D029;D030;D031,Brinjal 1;Brinjal 2;Brinjal 3;Brinjal 4;Brinjal 5;Brinjal 6;Brinjal 7;Brinjal 8;Brinjal 9;Brinjal 10;Brinjal 11;Brinjal 12;Brinjal 13;Brinjal 14;Brinjal 15;Brinjal 16;Brinjal 17;Brinjal 18;Brinjal 19;Brinjal 20;Brinjal 21;Brinjal - all varieties,,D031,22,Y,all varities  
butter unsalted,2,Butter (unsalted),none,none,,,0,,,,,absent,,USDA
chayote,2,Chayote,none,none,,,0,,,,D038,miss,N,cho-cho-marrow is the same as chayote
cinnamon powder dalchini,2,Cinnamon Powder (Dalchini),review,partial,,,1,G033,Turmeric powder,,,absent,,USDA
colocasia root arbi,2,Colocasia Root (Arbi),auto,subset,F004,Roots and Tubers,1,F004,Colocasia,,F004,1,N,
drumstick leaf moringa murungai keerai,2,Drumstick Leaves (Moringa/Murungai Keerai),review,subset,,,2,C019;D046,Drumstick leaves;Drumstick,,C019,1,N,
dry coconut kopra,2,Dry coconut (kopra),review,partial,,,5,H006;A006;B017;K002;T001,"Coconut, kernel, dry;Maize, dry;Peas, dry;Coconut water;Coconut oil",,H006,1,N,Kopra = kernal
fish,2,Fish,review,subset,,,15,P004;P009;P016;P030;P037;P038;P051;P060;P061;P064;P077;P079;P092;S001;S004,"Ari fish;Cat fish;Guitar fish;Kite fish;Milk fish;Moon fish;Parrot fish;Queen fish;Raai fish;Ray fish, bow head, spotted;Silk fish;Sole fish;Eggs, cat fish;Cat fish;Gold fish",,,absent,,"Requires ""general dish"" variant"
instant coffee powder,2,Instant Coffee Powder,review,partial,,,1,G033,Turmeric powder,,,absent,,USDA
instant oat oatmeal,2,Instant Oats (Oatmeal),none,none,,,0,,,,,absent,,USDA
jackfruit raw kathal,2,Jackfruit Raw (Kathal),review,partial,,,1,D059,"Papaya, raw",,D051,miss,N,mismatch
lemon,2,Lemon,auto,subset,E033,Fruits,1,E033,"Lemon, juice",,,absent,,lemon != lemon juice
meat masala,2,Meat masala,review,partial,,,6,N011;N012;N013;N014;N015;O001,"Duck, meat, with skin;Emu, meat, skinless;Guinea fowl, meat, with skin;Pigeon, meat, with skin;Quail, meat, skinless;Goat, shoulder, meat",,,absent,,requires USDA or other
nendra pazham banana ripe,2,Nendra Pazham Banana (Ripe),review,partial,,,5,E009;E010;E011;E012;E049,"Banana, ripe, montham;Banana, ripe, poovam;Banana, ripe, red;Banana, ripe, robusta;Papaya, ripe",,E009,1,Y,default to montham
nutmeg powder,2,Nutmeg powder,auto,subset,G028,Condiments and Spices,1,G028,Nutmeg,,G028,1,N,nutmeg/nutmeg powder distinction 
paprika powder,2,Paprika powder,review,partial,,,1,G033,Turmeric powder,,,absent,,USDA
raw banana peel,2,Raw banana peel,review,partial,,,1,D059,"Papaya, raw",,,absent,,USDA
raw papaya,2,Raw papaya,auto,tokenset,D059,Other Vegetables,1,D059,"Papaya, raw",,D059,1,N,
rum,2,Rum,none,none,,,0,,,,,absent,,USDA
sardine fish,2,Sardine fish,auto,subset,P071,Marine Fish,1,P071,Sardine,,P071,1,N,
seer fish,2,Seer fish,review,partial,,,15,P004;P009;P016;P030;P037;P038;P051;P060;P061;P064;P077;P079;P092;S001;S004,"Ari fish;Cat fish;Guitar fish;Kite fish;Milk fish;Moon fish;Parrot fish;Queen fish;Raai fish;Ray fish, bow head, spotted;Silk fish;Sole fish;Eggs, cat fish;Cat fish;Gold fish",,P087,miss,N,panjaram = seer fish 
small onion sambar,2,Small onion (Sambar),auto,subset,G018,Condiments and Spices,1,G018,"Onion, small",,G018,1,N,
tamarind paste,2,Tamarind Paste,review,partial,,,3,C034;E044;E064,"Tamarind leaves, tender;Manila tamarind;Tamarind, pulp",,E064,3,N,"Paste != pulp, recheck"
tutti frutti,2,Tutti frutti,none,none,,,0,,,,,absent,,This is candied raw papaya
vinegar,2,Vinegar,none,none,,,0,,,,,absent,,USDA
cabbage,2,cabbage,review,subset,,,4,C013;C014;C015;C016,"Cabbage, Chinese;Cabbage, collard greens;Cabbage, green;Cabbage, violet",,C015,3,Y,default to green cabbage
carrot,2,carrots,review,subset,,,2,F002;F003,"Carrot, orange;Carrot, red",,F002,1,Y,default to orange carrot
cumin,2,cumin,auto,subset,G025,Condiments and Spices,1,G025,Cumin seeds,,G025,1,N,Cumin seed/cumin powder? 
green bean,2,green beans,review,partial,,,51,B007;B008;B009;B010;B011;B016;B024;B025;C002;C004;C005;C006;C015;C018;C022;D003;D007;D008;D009;D032;D033;D039;D041;D043;D044;D047;D048;D049;D050;D057;D063;D065;D070;D071;D074;D077;E002;E023;E026;E065;E066;G001;G002;G003;G004;G005;G006;G007;G008;G020;R001,"Field bean, black;Field bean, brown;Field bean, white;Green gram, dal;Green gram, whole;Moth bean;Soya bean, brown;Soya bean, white;Amaranth leaves, green;Amaranth leaves, red and green;Amaranth, spinous, leaves, green;Amaranth, spinous, leaves, red and green;Cabbage, green;Colocasia leaves, green;Gogu leaves, green stem;Bean scarlet, tender;Bottle gourd, elongate, pale green;Bottle gourd, round, pale green;Bottle gourd, elongate, dark green;Broad beans;Capsicum, green;Cluster beans;Colocasia, stem, green;Cucumber, green, elongate;Cucumber, green, short;Field beans, tender, broad;Field beans, tender, lean;French beans, country;French beans, hybrid;Mango, green, raw;Plantain, green;Pumpkin, green, cylindrical;Snake gourd, long, pale green;Snake gourd, long, dark green;Tomato, green;Zucchini, green;Apple, green;Grapes, seeded, round, green;Grapes, seedless, round, green;Water melon, dark green (sugar baby);Water melon, pale green;Chillies, green-1;Chillies, green-2;Chillies, green-3;Chillies, green-4;Chillies, green-5;Chillies, green-6;Chillies, green-7;Chillies, green - all varieties;Cardamom, green;Clam, green shell",,D050,29,N,Often written as green beans (french beans) 
green chili,2,green chili,review,partial,,,38,B010;B011;C002;C004;C005;C006;C015;C018;C022;D007;D008;D009;D033;D041;D043;D044;D057;D063;D065;D070;D071;D074;D077;E002;E023;E026;E065;E066;G001;G002;G003;G004;G005;G006;G007;G008;G020;R001,"Green gram, dal;Green gram, whole;Amaranth leaves, green;Amaranth leaves, red and green;Amaranth, spinous, leaves, green;Amaranth, spinous, leaves, red and green;Cabbage, green;Colocasia leaves, green;Gogu leaves, green stem;Bottle gourd, elongate, pale green;Bottle gourd, round, pale green;Bottle gourd, elongate, dark green;Capsicum, green;Colocasia, stem, green;Cucumber, green, elongate;Cucumber, green, short;Mango, green, raw;Plantain, green;Pumpkin, green, cylindrical;Snake gourd, long, pale green;Snake gourd, long, dark green;Tomato, green;Zucchini, green;Apple, green;Grapes, seeded, round, green;Grapes, seedless, round, green;Water melon, dark green (sugar baby);Water melon, pale green;Chillies, green-1;Chillies, green-2;Chillies, green-3;Chillies, green-4;Chillies, green-5;Chillies, green-6;Chillies, green-7;Chillies, green - all varieties;Cardamom, green;Clam, green shell",,G008,36,Y,all varities  
okra,2,okra,none,none,,,0,,,,D056,miss,N,ladies finger = okra
potato,2,potato,review,subset,,,5,F006;F007;F008;F013;F014,"Potato, brown skin, big;Potato, brown skin, small;Potato, red skin;Sweet potato, brown skin;Sweet potato, pink skin",,F006,1,Y,default to large brown potato
red chili,2,red chili,review,partial,,,21,B020;B021;B022;C003;C004;C006;C023;D034;D067;E011;E014;E024;F003;F008;F009;F011;G022;H003;P065;P066;R006,"Rajmah, red;Red gram, dal;Red gram, whole;Amaranth leaves, red;Amaranth leaves, red and green;Amaranth, spinous, leaves, red and green;Gogu leaves, red stem;Capsicum, red;Red gram, tender, fresh;Banana, ripe, red;Cherries, red;Grapes, seeded, round, red;Carrot, red;Potato, red skin;Radish, elongate, red skin;Radish, round, red skin;Chillies, red;Arecanut, dried, red color;Red snapper;Red snapper, small;Squid, red",,G022,17,N,
rye,2,rye,none,none,,,0,,,,,absent,,USDA equivalent?
suran,2,suran,none,none,,,0,,,,F017,miss,N,suran = yam
aachi fish masala,1,Aachi Fish Masala,review,partial,,,13,P004;P009;P016;P030;P037;P038;P051;P060;P061;P077;P079;S001;S004,Ari fish;Cat fish;Guitar fish;Kite fish;Milk fish;Moon fish;Parrot fish;Queen fish;Raai fish;Silk fish;Sole fish;Cat fish;Gold fish,,,absent,,USDA/other
ada,1,Ada,none,none,,,0,,,,,absent,,"Poha is similar but nutritionally different, requires fallbak"
ash gourd,1,Ash gourd,auto,exact,D001,Other Vegetables,1,D001,Ash gourd,,D001,1,N,
baby potato,1,Baby Potatoes,review,partial,,,7,D042;E065;F006;F007;F008;F013;F014,"Corn, baby;Water melon, dark green (sugar baby);Potato, brown skin, big;Potato, brown skin, small;Potato, red skin;Sweet potato, brown skin;Sweet potato, pink skin",,F006,3,N,baby = small potato
bajra flour pearl millet,1,Bajra Flour (Pearl Millet),auto,subset,A003,Cereals and Millets,1,A003,Bajra,,A003,1,N,
banana stem,1,Banana Stem,review,partial,,,9,C022;C023;D040;D041;D064;E009;E010;E011;E012,"Gogu leaves, green stem;Gogu leaves, red stem;Colocasia, stem, black;Colocasia, stem, green;Plantain, stem;Banana, ripe, montham;Banana, ripe, poovam;Banana, ripe, red;Banana, ripe, robusta",,,absent,,"No ""stem"" nutrition stats "
banana flower vazhaipoo,1,Banana flower (Vazhaipoo),review,partial,,,1,D062,"Plantain, flower",,D062,1,N,
black eyed bean lobia,1,Black Eyed Beans (Lobia),review,partial,,,12,B007;B016;B018;D032;D039;E013;E015;G021;G031;P006;P055;R004,"Field bean, black;Moth bean;Rajmah, black;Broad beans;Cluster beans;Black berry;Currants, black;Cardamom, black;Pepper, black;Black snapper;Pomfret, black;Squid, black",,B006,miss,N,black eyed bean = cow
brown rice,1,Brown Rice,auto,subset,A013,Cereals and Millets,1,A013,"Rice, raw, brown",,A013,1,N,
butter,1,Butter,none,none,,,0,,,,,absent,,USDA
button mushroom,1,Button mushrooms,auto,subset,J001,Mushrooms,1,J001,"Button mushroom, fresh",,J001,1,N,
cabbage patta gobi/ muttaikose,1,Cabbage (Patta Gobi/ Muttaikose),review,partial,,,3,C013;C015;C016,"Cabbage, Chinese;Cabbage, green;Cabbage, violet",,C015,2,Y,default to green vs violet 
candied orange peel,1,Candied orange peel,review,partial,,,2,E047;F002,"Orange, pulp;Carrot, orange",,,absent,,
caramel sauce,1,Caramel Sauce,none,none,,,0,,,,,absent,,USDA
