name_raw,n_occurrences,sample_raw_lines,dry_fresh_seen,primary_key,candidate_ifct_names,chosen_ifct_code
onions,5,2 onions - peeled; 2 onions - peel and chop; 2 onions - finely chopped,,onion,"Onion, stalk; Onion, big; Onion, small",
Raisins,4,100 grams Raisins; 2 teaspoons Raisins; 7 Raisins,,raisin,"Raisins, dried, black; Raisins, dried, golden",
Carrot (Gajjar),4,1 Carrot (Gajjar) - finely chopped; 2 Carrot (Gajjar) - peeled and diced; 1 Carrot (Gajjar) - peeled and cubed,,carrot,"Carrot, orange; Carrot, red",
Ripe Bananas,4,1 cup Ripe Bananas - mashed; 2 Ripe Bananas - mashed; 2 Ripe Bananas,,ripe banana,"Banana, ripe, montham; Banana, ripe, poovam; Banana, ripe, red; Banana, ripe, robusta",
Whole Eggs,4,2 Whole Eggs; 1 Whole Eggs; 2 Whole Eggs - hard boiled and cut to half,,whole egg,"Egg, poultry, whole, raw; Egg, poultry, whole, boiled; Egg, country hen, whole, raw; Egg, country hen, whole, boiled; Egg, duck, whole, boiled",
Tamarind,4,Tamarind - small lemon sized; 30 grams Tamarind; 20 grams Tamarind,,tamarind,"Tamarind leaves, tender; Manila tamarind; Tamarind, pulp",
Prawns,4,250 grams Prawns; 300 grams Prawns - shells removed and deveined; 500 grams Prawns,,prawn,"Tiger prawns, brown; Tiger Prawns, orange; Prawns, big; Prawns, small; Tiger prawns",
Mango (Ripe),4,4 Mango (Ripe); 2 Mango (Ripe); 2 Mango (Ripe) - peeled and chopped roughly (reserve the seeds),,mango,"Mango, green, raw; Mango, ripe, banganapalli; Mango, ripe, gulabkhas; Mango, ripe, himsagar; Mango, ripe, kesar",
onion,3,1 onion - finely chopped; 1 onion - chop; 1 onion - finely chopped,,onion,"Onion, stalk; Onion, big; Onion, small",
tomatoes,3,2 tomatoes - finely chopped; 5 tomatoes - finely chopped; 4 tomatoes - chopped,,tomato,"Tomato, green; Tomato, ripe, hybrid; Tomato, ripe, local",
Mango (Raw),3,1 Mango (Raw) - cut into 1 inch lengthwise; 1 Mango (Raw) - peeled & chopped to bite-size; 1 Mango (Raw) - peeled and diced,,mango,"Mango, green, raw; Mango, ripe, banganapalli; Mango, ripe, gulabkhas; Mango, ripe, himsagar; Mango, ripe, kesar",
tamarind,3,1 tamarind - Malabar; 1 Tamarind - malabar; Tamarind - Gooseberry Sized,,tamarind,"Tamarind leaves, tender; Manila tamarind; Tamarind, pulp",
rice,2,2 cups rice - soaked for 3 hours; 1 cup rice - cooked,,rice,"Rice, flakes; Rice, puffed; Rice, raw, brown; Rice, parboiled, milled; Rice, raw, milled",
Fish,2,1/2 kg Fish - (I have used sardine cleaned and cut); 300 gram Fish,,fish,Ari fish; Cat fish; Guitar fish; Kite fish; Milk fish,
Potatoes (Aloo),2,2 Potatoes (Aloo); 2 Potatoes (Aloo) - peeled and cut lengthwise,,potato,"Potato, brown skin, big; Potato, brown skin, small; Potato, red skin; Sweet potato, brown skin; Sweet potato, pink skin",
cabbage,2,1 cabbage - finely chopped; 1 cup cabbage - wash and chop finely,,cabbage,"Cabbage, Chinese; Cabbage, collard greens; Cabbage, green; Cabbage, violet",
carrots,2,3 carrots - chop; 2 carrots - cut straight,,carrot,"Carrot, orange; Carrot, red",
tomato,2,1 tomato - finely chopped; 1 tomato - finely chopped,,tomato,"Tomato, green; Tomato, ripe, hybrid; Tomato, ripe, local",
Coconut,2,1-1 / 2 cup coconut - grated; 2 tablespoons Fresh coconut - pieces,Fresh,coconut,"Coconut, kernel, dry; Coconut, kernel, fresh; Coconut water; Coconut oil",
black gram,1,1/2 cup black gram,,black gram,"Black gram, dal; Black gram, whole",
Sweet Potatoes,1,2 Sweet Potatoes - medium size,,sweet potato,"Sweet potato, brown skin; Sweet potato, pink skin",
Papaya,1,1/4 cup Papaya - cubes (optional),,papaya,"Papaya, raw; Papaya, ripe",
Prawns - tiger,1,500 grams Prawns - tiger,,prawn tiger,"Tiger prawns, brown; Tiger Prawns, orange; Tiger prawns",
Egg yolks,1,4 Egg yolks,,egg yolk,"Egg, poultry, yolk, raw; Egg, poultry, yolk, boiled",
Orange,1,1 Orange,,orange,"Cucumber, orange, round; Pumpkin, orange, round; Musk melon, orange flesh; Orange, pulp; Carrot, orange",
Egg whites,1,4 Egg whites,,egg white,"Egg, poultry, white, raw; Egg, poultry, white, boiled",
Guava,1,1/4 cup Guava - cubes (optional),,guava,"Guava, white flesh; Guava, pink flesh",
Mango,1,1 Mango (Ripe) - peel & slice,,mango,"Mango, green, raw; Mango, ripe, banganapalli; Mango, ripe, gulabkhas; Mango, ripe, himsagar; Mango, ripe, kesar",
ginger,1,1 ginger - finely chopped,,ginger,"Ginger, fresh; Mango ginger",
eggs,1,2 eggs - boiled and cut into pieces,,egg,"Egg, poultry, whole, raw; Egg, poultry, white, raw; Egg, poultry, yolk, raw; Egg, poultry, whole, boiled; Egg, poultry, white, boiled",
coriander,1,3 sprig coriander - Finely chop,,coriander,Coriander leaves; Coriander seeds,
Cucumber,1,1 Cucumber - peeled and diced,,cucumber,"Cucumber, green, elongate; Cucumber, green, short; Cucumber, orange, round",
potatoes,1,2 potatoes - peel and chop straight,,potato,"Potato, brown skin, big; Potato, brown skin, small; Potato, red skin; Sweet potato, brown skin; Sweet potato, pink skin",
potato,1,250 g potato - cut straight and thick,,potato,"Potato, brown skin, big; Potato, brown skin, small; Potato, red skin; Sweet potato, brown skin; Sweet potato, pink skin",
Yam,1,250 grams Yam - peel and chop,,yam,"Yam, elephant; Yam, ordinary; Yam, wild",
Whole Egg,1,1 Whole Egg,,whole egg,"Egg, poultry, whole, raw; Egg, poultry, whole, boiled; Egg, country hen, whole, raw; Egg, country hen, whole, boiled; Egg, duck, whole, boiled",
Squid,1,250 grams Squid - (Cleaned and cut into rings),,squid,"Squid, black; Squid, hard shell; Squid, red; Squid, white, small",
Cabbage (Patta Gobi/ Muttaikose),1,1/2 Cabbage (Patta Gobi/ Muttaikose) - finely chopped,,cabbage,"Cabbage, Chinese; Cabbage, collard greens; Cabbage, green; Cabbage, violet",
