norm_key,n_lines,generic_name,link_rule,link_confidence,n_candidates,candidate_codes,candidate_names,ifct_code,food_group,chosen_ifct_code,status,notes
raw banana,8,Raw Banana,partial,0.5,15,A013;A015;D051;D057;D059;E009;E010;E011;E012;M001;M002;M003;M008;M012;M014,"Rice, raw, brown;Rice, raw, milled;Jack fruit, raw;Mango, green, raw;Papaya, raw;Banana, ripe, montham;Banana, ripe, poovam;Banana, ripe, red;Banana, ripe, robusta;Egg, poultry, whole, raw;Egg, poultry, white, raw;Egg, poultry, yolk, raw;Egg, country hen, whole, raw;Egg, duck, whole, raw;Egg, quial, whole, raw",,,,needs_partial,15 ranked candidates
oil,8,oil,subset,0.8,12,T001;T002;T003;T004;T005;T006;T007;T008;T009;T010;T011;T012,Coconut oil;Corn oil;Cotton seed oil;Gingelly oil;Groundnut oil;Mustard oil;Palm oil;Rice bran oil;Safflower oil;Safflower oil (blended);Soyabean oil;Sunflower oil,,,,needs_pick,"12 varieties, no IFCT aggregate row"
ginger garlic paste,7,Ginger Garlic Paste,partial,0.5,2,G014;G015,"Ginger, fresh;Mango ginger",,,,needs_partial,2 ranked candidates
mint leaf pudina,7,Mint Leaves (Pudina),partial,0.5,4,C019;C020;C031;G016,Drumstick leaves;Fenugreek leaves;Radish leaves;Mint leaves,,,,needs_partial,4 ranked candidates
tamarind,7,Tamarind,subset,0.8,3,C034;E044;E064,"Tamarind leaves, tender;Manila tamarind;Tamarind, pulp",,,,needs_name_fix,candidates span 2 food groups
baking soda,6,Baking soda,none,,0,,,,,,no_candidate,no candidate at any rung
elephant yam suran senai ratalu,6,Elephant yam (Suran/Senai/Ratalu),subset,0.8,1,F017,"Yam, elephant",F017,Roots and Tubers,,auto,
green bean french bean,6,Green beans (French Beans),partial,0.667,20,D049;D050;B016;C015;D032;D033;D039;D063;D074;D077;E002;G001;G002;G003;G004;G005;G006;G007;G008;G020,"French beans, country;French beans, hybrid;Moth bean;Cabbage, green;Broad beans;Capsicum, green;Cluster beans;Plantain, green;Tomato, green;Zucchini, green;Apple, green;Chillies, green-1;Chillies, green-2;Chillies, green-3;Chillies, green-4;Chillies, green-5;Chillies, green-6;Chillies, green-7;Chillies, green - all varieties;Cardamom, green",,,,needs_partial,20 ranked candidates
kokum malabar tamarind,6,Kokum (Malabar Tamarind),partial,0.5,2,E044;E064,"Manila tamarind;Tamarind, pulp",,,,needs_partial,2 ranked candidates
red matta rice,6,Red matta rice,partial,0.5,9,A011;A012;B020;D034;E014;F003;G022;P065;R006,"Rice, flakes;Rice, puffed;Rajmah, red;Capsicum, red;Cherries, red;Carrot, red;Chillies, red;Red snapper;Squid, red",,,,needs_partial,9 ranked candidates
all purpose flour maida,5,All Purpose Flour (Maida),none,,0,,,,,,no_candidate,no candidate at any rung
asafoetida hing,5,Asafoetida (hing),subset,0.8,1,G019,Asafoetida,G019,Condiments and Spices,,auto,
bhindi lady finger okra,5,Bhindi (Lady Finger/Okra),subset,0.8,1,D056,Ladies finger,D056,Other Vegetables,,auto,
drumstick,5,Drumstick,exact,1.0,1,D046,Drumstick,D046,Other Vegetables,,auto,
fennel powder,5,Fennel Powder,partial,0.5,1,G033,Turmeric powder,,,,needs_partial,1 ranked candidates
whole egg,5,Whole Eggs,subset,0.8,9,M001;M004;M008;M009;M011;M012;M013;M014;M015,"Egg, poultry, whole, raw;Egg, poultry, whole, boiled;Egg, country hen, whole, raw;Egg, country hen, whole, boiled;Egg, duck, whole, boiled;Egg, duck, whole, raw;Egg, duck, whole, omlet;Egg, quial, whole, raw;Egg, quial, whole, boiled",,,,needs_pick,"9 varieties, no IFCT aggregate row"
whole wheat flour,5,Whole Wheat Flour,subset,0.8,1,A020,"Wheat, whole",A020,Cereals and Millets,,auto,
cumin seed,5,cumin seeds,exact,1.0,1,G025,Cumin seeds,G025,Condiments and Spices,,auto,
small onion,5,small onions,tokenset,0.9,1,G018,"Onion, small",G018,Condiments and Spices,,auto,
chana dal bengal gram dal,4,Chana dal (Bengal Gram Dal),subset,0.8,1,B001,"Bengal gram, dal",B001,Grain Legumes,,auto,
cumin powder jeera,4,Cumin powder (Jeera),partial,0.5,2,G025;G033,Cumin seeds;Turmeric powder,,,,needs_partial,2 ranked candidates
green peas matar,4,Green Peas (Matar),partial,0.5,15,C015;D033;D063;D074;D077;E002;G001;G002;G003;G004;G005;G006;G007;G008;G020,"Cabbage, green;Capsicum, green;Plantain, green;Tomato, green;Zucchini, green;Apple, green;Chillies, green-1;Chillies, green-2;Chillies, green-3;Chillies, green-4;Chillies, green-5;Chillies, green-6;Chillies, green-7;Chillies, green - all varieties;Cardamom, green",,,,needs_partial,15 ranked candidates
kaddu parangikai/ pumpkin,4,Kaddu (Parangikai/ Pumpkin),none,,0,,,,,,no_candidate,no candidate at any rung
mango ripe,4,Mango (Ripe),subset,0.8,7,E036;E037;E038;E039;E040;E041;E042,"Mango, ripe, banganapalli;Mango, ripe, gulabkhas;Mango, ripe, himsagar;Mango, ripe, kesar;Mango, ripe, neelam;Mango, ripe, paheri;Mango, ripe, totapari",,,,needs_pick,"7 varieties, no IFCT aggregate row"
methi powder fenugreek powder,4,Methi Powder (Fenugreek Powder),partial,0.5,3,C020;G026;G033,Fenugreek leaves;Fenugreek seeds;Turmeric powder,,,,needs_partial,3 ranked candidates
mutton,4,Mutton,none,,0,,,,,,no_candidate,no candidate at any rung
prawn,4,Prawns,subset,0.8,5,Q007;Q008;S008;S009;S010,"Tiger prawns, brown;Tiger Prawns, orange;Prawns, big;Prawns, small;Tiger prawns",,,,needs_name_fix,candidates span 2 food groups
raisin,4,Raisins,subset,0.8,2,E057;E058,"Raisins, dried, black;Raisins, dried, golden",,,,needs_pick,"2 varieties, no IFCT aggregate row"
ripe banana,4,Ripe Bananas,subset,0.8,4,E009;E010;E011;E012,"Banana, ripe, montham;Banana, ripe, poovam;Banana, ripe, red;Banana, ripe, robusta",,,,needs_pick,"4 varieties, no IFCT aggregate row"
red chili powder,4,red chili powder,partial,0.5,8,B020;D034;E014;F003;G022;G033;P065;R006,"Rajmah, red;Capsicum, red;Cherries, red;Carrot, red;Chillies, red;Turmeric powder;Red snapper;Squid, red",,,,needs_partial,8 ranked candidates
active dry yeast,3,Active dry yeast,partial,0.5,2,A006;B017,"Maize, dry;Peas, dry",,,,needs_partial,2 ranked candidates
arhar dal split toor dal,3,Arhar dal (Split Toor Dal),partial,0.5,1,B013,"Lentil, dal",,,,needs_partial,1 ranked candidates
bay leaf tej patta,3,Bay leaf (tej patta),partial,0.5,3,C019;C020;C031,Drumstick leaves;Fenugreek leaves;Radish leaves,,,,needs_partial,3 ranked candidates
cinnamon,3,Cinnamon,none,,0,,,,,,no_candidate,no candidate at any rung
cooked rice,3,Cooked rice,partial,0.5,6,A011;A012;A013;A014;A015;T008,"Rice, flakes;Rice, puffed;Rice, raw, brown;Rice, parboiled, milled;Rice, raw, milled;Rice bran oil",,,,needs_partial,6 ranked candidates
dry ginger powder,3,Dry ginger powder,partial,0.5,5,A006;B017;G014;G015;G033,"Maize, dry;Peas, dry;Ginger, fresh;Mango ginger;Turmeric powder",,,,needs_partial,5 ranked candidates
green chilie,3,Green Chilies,partial,0.5,38,B010;B011;C002;C004;C005;C006;C015;C018;C022;D007;D008;D009;D033;D041;D043;D044;D057;D063;D065;D070;D071;D074;D077;E002;E023;E026;E065;E066;G001;G002;G003;G004;G005;G006;G007;G008;G020;R001,"Green gram, dal;Green gram, whole;Amaranth leaves, green;Amaranth leaves, red and green;Amaranth, spinous, leaves, green;Amaranth, spinous, leaves, red and green;Cabbage, green;Colocasia leaves, green;Gogu leaves, green stem;Bottle gourd, elongate, pale green;Bottle gourd, round, pale green;Bottle gourd, elongate, dark green;Capsicum, green;Colocasia, stem, green;Cucumber, green, elongate;Cucumber, green, short;Mango, green, raw;Plantain, green;Pumpkin, green, cylindrical;Snake gourd, long, pale green;Snake gourd, long, dark green;Tomato, green;Zucchini, green;Apple, green;Grapes, seeded, round, green;Grapes, seedless, round, green;Water melon, dark green (sugar baby);Water melon, pale green;Chillies, green-1;Chillies, green-2;Chillies, green-3;Chillies, green-4;Chillies, green-5;Chillies, green-6;Chillies, green-7;Chillies, green - all varieties;Cardamom, green;Clam, green shell",,,,needs_partial,38 ranked candidates
green moong dal whole,3,Green Moong Dal (Whole),partial,0.667,19,B010;B011;A020;B013;C015;D033;D063;D074;D077;E002;G001;G002;G003;G004;G005;G006;G007;G008;G020,"Green gram, dal;Green gram, whole;Wheat, whole;Lentil, dal;Cabbage, green;Capsicum, green;Plantain, green;Tomato, green;Zucchini, green;Apple, green;Chillies, green-1;Chillies, green-2;Chillies, green-3;Chillies, green-4;Chillies, green-5;Chillies, green-6;Chillies, green-7;Chillies, green - all varieties;Cardamom, green",,,,needs_partial,19 ranked candidates
jackfruit ripe kathal,3,Jackfruit Ripe (Kathal),partial,0.5,1,E049,"Papaya, ripe",,,,needs_partial,1 ranked candidates
lukewarm water,3,Lukewarm Water,partial,0.5,5,E065;E066;F016;K002;S003,"Water melon, dark green (sugar baby);Water melon, pale green;Water Chestnut;Coconut water;Fresh water Eel",,,,needs_partial,5 ranked candidates
mango raw,3,Mango (Raw),subset,0.8,1,D057,"Mango, green, raw",D057,Other Vegetables,,auto,
tamarind water,3,Tamarind Water,partial,0.5,8,C034;E044;E064;E065;E066;F016;K002;S003,"Tamarind leaves, tender;Manila tamarind;Tamarind, pulp;Water melon, dark green (sugar baby);Water melon, pale green;Water Chestnut;Coconut water;Fresh water Eel",,,,needs_partial,8 ranked candidates
tapioca root,3,Tapioca root,subset,0.8,1,F015,Tapioca,F015,Roots and Tubers,,auto,
vellai poosanikai ash gourd white pumpkin,3,Vellai Poosanikai (Ash gourd/White Pumpkin),subset,0.8,1,D001,Ash gourd,D001,Other Vegetables,,auto,
yellow moong dal split,3,Yellow Moong Dal (Split),partial,0.5,3,B013;D035;D078,"Lentil, dal;Capsicum, yellow;Zucchini, yellow",,,,needs_partial,3 ranked candidates
coriander powder,3,coriander powder,partial,0.5,3,G009;G024;G033,Coriander leaves;Coriander seeds;Turmeric powder,,,,needs_partial,3 ranked candidates
badam almond,2,Badam (Almond),subset,0.8,1,H001,Almond,H001,Nuts and Oil Seeds,,auto,
baking powder,2,Baking powder,partial,0.5,1,G033,Turmeric powder,,,,needs_partial,1 ranked candidates
basmati rice,2,Basmati rice,partial,0.5,6,A011;A012;A013;A014;A015;T008,"Rice, flakes;Rice, puffed;Rice, raw, brown;Rice, parboiled, milled;Rice, raw, milled;Rice bran oil",,,,needs_partial,6 ranked candidates
black urad dal split,2,Black Urad Dal (Split),partial,0.667,10,B003;B013;B018;E013;E015;G021;G031;P006;P055;R004,"Black gram, dal;Lentil, dal;Rajmah, black;Black berry;Currants, black;Cardamom, black;Pepper, black;Black snapper;Pomfret, black;Squid, black",,,,needs_partial,10 ranked candidates
brinjal baingan eggplant,2,Brinjal (Baingan / Eggplant),subset,0.8,22,D010;D011;D012;D013;D014;D015;D016;D017;D018;D019;D020;D021;D022;D023;D024;D025;D026;D027;D028;D029;D030;D031,Brinjal 1;Brinjal 2;Brinjal 3;Brinjal 4;Brinjal 5;Brinjal 6;Brinjal 7;Brinjal 8;Brinjal 9;Brinjal 10;Brinjal 11;Brinjal 12;Brinjal 13;Brinjal 14;Brinjal 15;Brinjal 16;Brinjal 17;Brinjal 18;Brinjal 19;Brinjal 20;Brinjal 21;Brinjal - all varieties,D031,Other Vegetables,,auto,IFCT 'all varieties' aggregate
butter unsalted,2,Butter (unsalted),none,,0,,,,,,no_candidate,no candidate at any rung
cardamom elaichi pod seed powdered,2,Cardamom (Elaichi) Pods/Seeds (powdered),partial,0.5,10,G020;G021;G024;G025;G026;G032;H013;H017;H019;H020,"Cardamom, green;Cardamom, black;Coriander seeds;Cumin seeds;Fenugreek seeds;Poppy seeds;Mustard seeds;Pine seeds;Safflower seeds;Sunflower seeds",,,,needs_partial,10 ranked candidates
chayote,2,Chayote,none,,0,,,,,,no_candidate,no candidate at any rung
cinnamon powder dalchini,2,Cinnamon Powder (Dalchini),partial,0.5,1,G033,Turmeric powder,,,,needs_partial,1 ranked candidates
drumstick leaf moringa murungai keerai,2,Drumstick Leaves (Moringa/Murungai Keerai),subset,0.8,2,C019;D046,Drumstick leaves;Drumstick,,,,needs_name_fix,candidates span 2 food groups
dry red chili,2,Dry Red Chili,partial,0.5,9,A006;B017;B020;D034;E014;F003;G022;P065;R006,"Maize, dry;Peas, dry;Rajmah, red;Capsicum, red;Cherries, red;Carrot, red;Chillies, red;Red snapper;Squid, red",,,,needs_partial,9 ranked candidates
dry coconut kopra,2,Dry coconut (kopra),partial,0.667,5,H006;A006;B017;K002;T001,"Coconut, kernel, dry;Maize, dry;Peas, dry;Coconut water;Coconut oil",,,,needs_partial,5 ranked candidates
fish,2,Fish,subset,0.8,15,P004;P009;P016;P030;P037;P038;P051;P060;P061;P064;P077;P079;P092;S001;S004,"Ari fish;Cat fish;Guitar fish;Kite fish;Milk fish;Moon fish;Parrot fish;Queen fish;Raai fish;Ray fish, bow head, spotted;Silk fish;Sole fish;Eggs, cat fish;Cat fish;Gold fish",,,,needs_name_fix,candidates span 2 food groups
ginger paste,2,Ginger Paste,partial,0.5,2,G014;G015,"Ginger, fresh;Mango ginger",,,,needs_partial,2 ranked candidates
instant coffee powder,2,Instant Coffee Powder,partial,0.5,1,G033,Turmeric powder,,,,needs_partial,1 ranked candidates
instant oat oatmeal,2,Instant Oats (Oatmeal),none,,0,,,,,,no_candidate,no candidate at any rung
jackfruit raw kathal,2,Jackfruit Raw (Kathal),partial,0.5,1,D059,"Papaya, raw",,,,needs_partial,1 ranked candidates
lemon,2,Lemon,subset,0.8,1,E033,"Lemon, juice",E033,Fruits,,auto,
meat masala,2,Meat masala,partial,0.5,6,N011;N012;N013;N014;N015;O001,"Duck, meat, with skin;Emu, meat, skinless;Guinea fowl, meat, with skin;Pigeon, meat, with skin;Quail, meat, skinless;Goat, shoulder, meat",,,,needs_partial,6 ranked candidates
nendra pazham banana ripe,2,Nendra Pazham Banana (Ripe),partial,0.667,5,E009;E010;E011;E012;E049,"Banana, ripe, montham;Banana, ripe, poovam;Banana, ripe, red;Banana, ripe, robusta;Papaya, ripe",,,,needs_partial,5 ranked candidates
nutmeg powder,2,Nutmeg powder,subset,0.8,1,G028,Nutmeg,G028,Condiments and Spices,,auto,
paprika powder,2,Paprika powder,partial,0.5,1,G033,Turmeric powder,,,,needs_partial,1 ranked candidates
raw banana peel,2,Raw banana peel,partial,0.5,1,D059,"Papaya, raw",,,,needs_partial,1 ranked candidates
raw papaya,2,Raw papaya,tokenset,0.9,1,D059,"Papaya, raw",D059,Other Vegetables,,auto,
rum,2,Rum,none,,0,,,,,,no_candidate,no candidate at any rung
seer fish,2,Seer fish,partial,0.5,15,P004;P009;P016;P030;P037;P038;P051;P060;P061;P064;P077;P079;P092;S001;S004,"Ari fish;Cat fish;Guitar fish;Kite fish;Milk fish;Moon fish;Parrot fish;Queen fish;Raai fish;Ray fish, bow head, spotted;Silk fish;Sole fish;Eggs, cat fish;Cat fish;Gold fish",,,,needs_partial,15 ranked candidates
tamarind paste,2,Tamarind Paste,partial,0.5,3,C034;E044;E064,"Tamarind leaves, tender;Manila tamarind;Tamarind, pulp",,,,needs_partial,3 ranked candidates
tutti frutti,2,Tutti frutti,none,,0,,,,,,no_candidate,no candidate at any rung
vinegar,2,Vinegar,none,,0,,,,,,no_candidate,no candidate at any rung
cabbage,2,cabbage,subset,0.8,4,C013;C014;C015;C016,"Cabbage, Chinese;Cabbage, collard greens;Cabbage, green;Cabbage, violet",,,,needs_pick,"4 varieties, no IFCT aggregate row"
carrot,2,carrots,subset,0.8,2,F002;F003,"Carrot, orange;Carrot, red",,,,needs_pick,"2 varieties, no IFCT aggregate row"
cumin,2,cumin,subset,0.8,1,G025,Cumin seeds,G025,Condiments and Spices,,auto,
dry red chilie,2,dry red chilies,partial,0.5,9,A006;B017;B020;D034;E014;F003;G022;P065;R006,"Maize, dry;Peas, dry;Rajmah, red;Capsicum, red;Cherries, red;Carrot, red;Chillies, red;Red snapper;Squid, red",,,,needs_partial,9 ranked candidates
green bean,2,green beans,partial,0.5,51,B007;B008;B009;B010;B011;B016;B024;B025;C002;C004;C005;C006;C015;C018;C022;D003;D007;D008;D009;D032;D033;D039;D041;D043;D044;D047;D048;D049;D050;D057;D063;D065;D070;D071;D074;D077;E002;E023;E026;E065;E066;G001;G002;G003;G004;G005;G006;G007;G008;G020;R001,"Field bean, black;Field bean, brown;Field bean, white;Green gram, dal;Green gram, whole;Moth bean;Soya bean, brown;Soya bean, white;Amaranth leaves, green;Amaranth leaves, red and green;Amaranth, spinous, leaves, green;Amaranth, spinous, leaves, red and green;Cabbage, green;Colocasia leaves, green;Gogu leaves, green stem;Bean scarlet, tender;Bottle gourd, elongate, pale green;Bottle gourd, round, pale green;Bottle gourd, elongate, dark green;Broad beans;Capsicum, green;Cluster beans;Colocasia, stem, green;Cucumber, green, elongate;Cucumber, green, short;Field beans, tender, broad;Field beans, tender, lean;French beans, country;French beans, hybrid;Mango, green, raw;Plantain, green;Pumpkin, green, cylindrical;Snake gourd, long, pale green;Snake gourd, long, dark green;Tomato, green;Zucchini, green;Apple, green;Grapes, seeded, round, green;Grapes, seedless, round, green;Water melon, dark green (sugar baby);Water melon, pale green;Chillies, green-1;Chillies, green-2;Chillies, green-3;Chillies, green-4;Chillies, green-5;Chillies, green-6;Chillies, green-7;Chillies, green - all varieties;Cardamom, green;Clam, green shell",,,,needs_partial,51 ranked candidates
green chili,2,green chili,partial,0.5,38,B010;B011;C002;C004;C005;C006;C015;C018;C022;D007;D008;D009;D033;D041;D043;D044;D057;D063;D065;D070;D071;D074;D077;E002;E023;E026;E065;E066;G001;G002;G003;G004;G005;G006;G007;G008;G020;R001,"Green gram, dal;Green gram, whole;Amaranth leaves, green;Amaranth leaves, red and green;Amaranth, spinous, leaves, green;Amaranth, spinous, leaves, red and green;Cabbage, green;Colocasia leaves, green;Gogu leaves, green stem;Bottle gourd, elongate, pale green;Bottle gourd, round, pale green;Bottle gourd, elongate, dark green;Capsicum, green;Colocasia, stem, green;Cucumber, green, elongate;Cucumber, green, short;Mango, green, raw;Plantain, green;Pumpkin, green, cylindrical;Snake gourd, long, pale green;Snake gourd, long, dark green;Tomato, green;Zucchini, green;Apple, green;Grapes, seeded, round, green;Grapes, seedless, round, green;Water melon, dark green (sugar baby);Water melon, pale green;Chillies, green-1;Chillies, green-2;Chillies, green-3;Chillies, green-4;Chillies, green-5;Chillies, green-6;Chillies, green-7;Chillies, green - all varieties;Cardamom, green;Clam, green shell",,,,needs_partial,38 ranked candidates
okra,2,okra,none,,0,,,,,,no_candidate,no candidate at any rung
potato,2,potato,subset,0.8,5,F006;F007;F008;F013;F014,"Potato, brown skin, big;Potato, brown skin, small;Potato, red skin;Sweet potato, brown skin;Sweet potato, pink skin",,,,needs_pick,"5 varieties, no IFCT aggregate row"
red chili,2,red chili,partial,0.5,21,B020;B021;B022;C003;C004;C006;C023;D034;D067;E011;E014;E024;F003;F008;F009;F011;G022;H003;P065;P066;R006,"Rajmah, red;Red gram, dal;Red gram, whole;Amaranth leaves, red;Amaranth leaves, red and green;Amaranth, spinous, leaves, red and green;Gogu leaves, red stem;Capsicum, red;Red gram, tender, fresh;Banana, ripe, red;Cherries, red;Grapes, seeded, round, red;Carrot, red;Potato, red skin;Radish, elongate, red skin;Radish, round, red skin;Chillies, red;Arecanut, dried, red color;Red snapper;Red snapper, small;Squid, red",,,,needs_partial,21 ranked candidates
rye,2,rye,none,,0,,,,,,no_candidate,no candidate at any rung
suran,2,suran,none,,0,,,,,,no_candidate,no candidate at any rung
tsp cumin seed,1,2 tsp cumin seeds,subset,0.8,1,G025,Cumin seeds,,,,residue,unit token in name_raw; fix in parsing
