recipe_id,line_no,raw_line
7,6,1 teaspoon Mustard seeds
7,7,1 sprig Curry leaves
7,8,1 tablespoon Coconut Oil
7,9,Salt - to taste
8,1,1 Carrot (Gajjar) - finely chopped
8,2,1 Brinjal (Baingan / Eggplant) - finely chopped
8,3,1 Potato (Aloo) - finely diced
8,4,1 Elephant yam (Suran/Senai/Ratalu) - finely diced
8,5,6 Green beans (French Beans) - cut into 1 inch pieces
8,6,1 Mango (Raw) - cut into 1 inch lengthwise
8,7,1/4 teaspoon Turmeric powder (Haldi)
8,8,1 cup Fresh coconut - grated
8,9,1 tablespoon Ginger - juliennes
8,10,6 Green Chillies
8,11,1/2 teaspoon Cumin seeds (Jeera)
8,12,1 cup Pearl onions (Sambar Onions)
8,13,2 sprig Curry leaves
8,14,1 tablespoon Coconut Oil
8,15,Salt - to taste
9,1,2 Seer fish - slices
9,2,1/2 teaspoon Turmeric powder (Haldi)
9,3,Salt - to taste
9,4,2 teaspoons Aachi Fish Masala
9,5,1/3 cup Fresh coconut
9,6,6 cloves Garlic
9,7,1 inch Ginger
9,8,2 sprig Coriander (Dhania) Leaves - washed and finely chopped
9,9,1 Tomato - finely chopped
9,10,1 inch Cinnamon Stick (Dalchini)
9,11,2 Cloves (Laung)
9,12,1 Kokum (Malabar Tamarind)
9,13,2 tablespoons Coconut Oil
9,14,3 sprig Curry leaves
9,15,8 Pearl onions (Sambar Onions) - sliced
9,16,2 tablespoons Sambar Powder
10,1,1 kg Tapioca root
10,2,1 cup Fresh coconut - grated
10,3,4 to 5 Shallots
10,4,2 Green Chillies - chopped
10,5,1-1/2 cups Hung Curd (Greek Yogurt)
10,6,Salt - to taste
11,1,2 cups rice - soaked for 3 hours
11,2,1 cup rice - cooked
11,3,1 cup coconut - tighten
11,4,1 tsp active dry yeast - + 1/2 cup lukewarm water
11,5,2 tbsp sugar
11,6,salt - as per taste
12,1,1-1/2 cups Milk
12,2,1 cup Coconut milk
12,3,1/4 cup Yellow Moong Dal (Split) - washed and soaked
12,4,2 tablespoons Chana dal (Bengal Gram Dal) - washed and soaked
12,5,2 tablespoons Fresh coconut - grated
12,6,1/2 cup Jaggery
12,7,10 Cashew nuts - halved
12,8,1 teaspoon Cardamom Powder (Elaichi)
12,9,2 tablespoons Ghee
13,1,2 Nendra Pazham Banana (Ripe) - sliced into rounds
13,2,1/4 teaspoon Turmeric powder (Haldi)
13,3,Salt - to taste
13,4,1 cup Curd (Dahi / Yogurt)
13,5,Coconut Oil - for cooking
13,6,1/2 cup Fresh coconut
13,7,2 Green Chilli
13,8,1 sprig Curry leaves
13,9,1 teaspoon Cumin seeds (Jeera)
13,10,1 teaspoon Mustard seeds
13,11,1 sprig Curry leaves
13,12,1 teaspoon White Urad Dal (Split)
13,13,Sunflower Oil - for tempering
14,1,500 Chicken - medium sized pieces
14,2,1 Onion - roughly chopped
14,3,1 inch Ginger - grated
14,4,6 cloves Garlic - finely chopped
14,5,1 teaspoon Mustard seeds
14,6,8 Curry leaves
14,7,Coconut Oil
14,8,Salt - as per taste
14,9,1/2 cup Coconut milk - or grated fresh coconut
14,10,1 tablespoon Whole Black Peppercorns
14,11,1 teaspoon Coriander (Dhania) Seeds
14,12,1 inch Cinnamon Stick (Dalchini)
14,13,1 teaspoon Fennel seeds (Saunf)
14,14,2 Dry Red Chillies
15,1,1 cup Mixed vegetables - (french beans
15,2,1/4 cup Raw Peanuts (Moongphali)
15,3,1/2 cup Arhar dal (Split Toor Dal)
15,4,Salt - to taste
15,5,1 tablespoon Jaggery
15,6,1/4 cup Fresh coconut - grated
15,7,6 Dry Red Chillies
15,8,1 tablespoon Chana dal (Bengal Gram Dal)
15,9,1 tablespoon White Urad Dal (Split)
15,10,1 inch Cinnamon Stick (Dalchini)
15,11,1 tablespoon Sunflower Oil
15,12,1 teaspoon Mustard seeds
15,13,Asafoetida (hing) - A pinch
15,14,Curry leaves - as required
16,1,250 gm arabic - wash now
16,2,peel
16,3,1 tamarind - Malabar
16,4,salt - as per taste
16,5,1/4 cup coconut - scrape
16,6,1 teaspoon red chilli powder
16,7,2 onions - peeled
16,8,1 tablespoon coconut oil
16,9,2 onions - peel and chop
16,10,1 teaspoon mustard
16,11,1 teaspoon cumin seeds
16,12,2 dry red chillies - break
16,13,7 curry leaves
17,1,300 grams Chicken - minced
17,2,1 Onion - sliced
17,3,1 sprig Curry leaves
17,4,4 cloves Garlic - chopped
17,5,1 inch Ginger - chopped
17,6,1 teaspoon Turmeric powder (Haldi)
17,7,2 teaspoons Red Chilli powder
17,8,2 teaspoons Garam masala powder
17,9,1 teaspoon Black pepper powder
17,10,Coconut Oil - for cooking
17,11,Salt - to taste
17,12,1/2 cup Whole Wheat Flour
17,13,1/2 cup All Purpose Flour (Maida)
17,14,Salt - to taste
18,1,2 Nendra Pazham Banana (Ripe)
18,2,1 cup All Purpose Flour (Maida)
18,3,1/4 cup Rice flour
18,4,1/8 teaspoon Baking soda
18,5,1/8 teaspoon Salt
18,6,1/8 teaspoon Turmeric powder (Haldi)
18,7,2 Cardamom Powder (Elaichi) - powdered
18,8,3 tablespoons Sugar
18,9,Sunflower Oil - for deep frying
19,1,1/2 kg Fish - (I have used sardine cleaned and cut)
19,2,Tamarind Water - extract from a big lemon sized tamarind
19,3,2 Shallots - finely chopped
19,4,2 tablespoons Coconut Oil
19,5,1 teaspoon Mustard seeds
19,6,2 sprig Curry leaves
19,7,Salt - to taste
19,8,10 cloves Garlic - split length-wise
19,9,1 tablespoon Ginger Garlic Paste
19,10,2 tablespoons Kashmiri Red Chilli Powder
19,11,1 tablespoon Coriander Powder (Dhania)
19,12,1/2 teaspoon Methi Powder (Fenugreek Powder)
20,1,1 cup Jackfruit Ripe (Kathal) - chopped finely
20,2,1/2 cup Rice flour
20,3,1 tablespoon Sunflower Oil
20,4,1 teaspoon Salt
20,5,Lukewarm Water - to knead
20,6,1 cup Fresh coconut - grated
20,7,1 Cardamom (Elaichi) Pods/Seeds
21,1,1 cup Green Moong Dal (Whole) - soaked for 2 hours
21,2,1/2 cup Jaggery
21,3,1 Cardamom Powder (Elaichi)
21,4,1/2 cup Fresh coconut
21,5,1/4 cup Gram flour (besan)
21,6,1/2 cup Rice flour
21,7,1 teaspoon Turmeric powder (Haldi)
21,8,Salt - Pinch
22,1,1 cup Green Moong Dal (Whole)
22,2,1/2 cup Yellow Moong Dal (Split)
22,3,10 Pearl onions (Sambar Onions)
22,4,1 teaspoon Mustard seeds
22,5,1 sprig Curry leaves
22,6,2 Dry Red Chilli
22,7,1 teaspoon Turmeric powder (Haldi)
22,8,Salt - to taste
22,9,Coconut Oil - for cooking
22,10,1/2 cup Fresh coconut
22,11,2 Green Chilli
22,12,1 teaspoon Cumin seeds (Jeera)
23,1,1 cup Rice
23,2,3/4 cup Jaggery - powdered
23,3,1 cup Ripe Bananas - mashed
23,4,1/2 cup Fresh coconut - grated
23,5,2 teaspoons Cardamom Powder (Elaichi)
23,6,1/4 teaspoon Enos fruit salt - optional
23,7,Ghee - for cooking
23,8,Salt - a pinch
24,1,200 grams Bhindi (Lady Finger/Okra) - cut into 1 inch pieces
24,2,Tamarind - small lemon sized
24,3,1/4 teaspoon Turmeric powder (Haldi)
24,4,1 tablespoon Coconut Oil
24,5,1 teaspoon Mustard seeds
24,6,1/4 teaspoon Asafoetida (hing) - powder
24,7,1 sprig Curry leaves
24,8,Salt - to taste
24,9,1 teaspoon Methi Seeds (Fenugreek Seeds)
24,10,2 tablespoons Rice - raw
24,11,2-3 Dry Red Chillies
25,1,500 grams Chicken
25,2,1/4 teaspoon Turmeric powder (Haldi)
25,3,1 teaspoon Kashmiri Red Chilli Powder
25,4,1 teaspoon Lemon juice
25,5,Salt - to taste
25,6,3 Onions - thinly sliced
25,7,1 tablespoon Ginger - finely chopped
25,8,1 tablespoon Garlic - finely chopped
25,9,2-1/2 teaspoons Coriander Powder (Dhania)
25,10,1-1/2 teaspoons Kashmiri Red Chilli Powder
25,11,1 teaspoon Garam masala powder
25,12,1/2 teaspoon Fennel Powder
25,13,3 Tomatoes - thinly sliced
25,14,2 sprig Curry leaves
25,15,Salt - to taste
25,16,2 tablespoons Coconut Oil - as required
26,1,250 grams Colocasia root (Arbi) - washed thoroughly and peeled
26,2,1 Tamarind - malabar
26,3,Salt - to taste
26,4,1/4 cup Fresh coconut - scrapped
26,5,1 teaspoon Red Chilli powder
26,6,2 Onions - peeled
26,7,1 tablespoon Coconut Oil
26,8,2 Onions - peeled and chopped
26,9,1 teaspoon Mustard seeds
26,10,1 teaspoon Cumin seeds (Jeera)
26,11,2 Dry Red Chilli - broken
26,12,7 Curry leaves
27,1,3 Karela (Bitter Gourd/ Pavakkai)
27,2,1 Onion - chopped
27,3,1 cup Curd (Dahi / Yogurt) - or buttermilk
27,4,pinch Turmeric powder (Haldi) - to reduce bitter from bitter gourd
27,5,Salt - to taste
27,6,1/4 cup Fresh coconut - grated
27,7,1/2 teaspoon Mustard seeds
27,8,2 Green Chilli
27,9,2 teaspoon Coconut Oil
27,10,1 teaspoon Mustard seeds
27,11,1 Dry Red Chilli
27,12,Curry leaves - few
28,1,1 cup Fresh coconut
28,2,6 sprig Coriander (Dhania) Leaves
28,3,10 Mint Leaves (Pudina)
28,4,2 Green Chillies
28,5,4 cloves Garlic
28,6,1 inch Ginger
28,7,1 teaspoon Cumin seeds (Jeera)
28,8,1 Lemon juice
28,9,Salt - to taste
29,1,1/2 Raw papaya
29,2,1 Green Chilli - adjustable
29,3,1 cup Fresh coconut - grated
29,4,3 Pearl onions (Sambar Onions) - thinly sliced
29,5,2 sprig Curry leaves
29,6,2 teaspoons Red Chilli powder
29,7,1 teaspoon Turmeric powder (Haldi)
29,8,1/2 teaspoon Cumin seeds (Jeera)
29,9,1/4 teaspoon Mustard seeds
29,10,2 Dry Red Chillies
29,11,Tamarind - Gooseberry Sized
29,12,Sunflower Oil - as required
29,13,Salt - to taste
30,1,4 Mango (Ripe)
30,2,2 Green Chillies - sliced lengthwise
30,3,1 cup Curd (Dahi / Yogurt) - whisked
30,4,Salt - to taste
30,5,1 cup Fresh coconut - grated
30,6,1 teaspoon Cumin seeds (Jeera)
30,7,1/4 teaspoon Turmeric powder (Haldi)
30,8,1 teaspoon Red Chilli powder
30,9,2 teaspoon Coconut Oil
30,10,1/2 teaspoon Mustard seeds
30,11,1/4 teaspoon Methi Seeds (Fenugreek Seeds)
30,12,2 Dry Red Chilli - cut into halves
30,13,1 sprig Curry leaves
31,1,25 okra
31,2,5 green chillies - finely chopped
31,3,1/4 cup curd
31,4,1 sprig curry leaves
31,5,1/2 cup coconut - grated
31,6,1/2 teaspoon cumin seeds
31,7,1/2 teaspoon mustard
31,8,1 dry red chili - Break it
31,9,2 teaspoons oil
31,10,salt - as per taste
32,1,1-1/2 cups Mixed dry fruits - I used apricot
32,2,3/4 cup Rum - or Double with orange juice
32,3,1/2 cup Sugar
32,4,1/2 cup Hot water
32,5,1 cup Vivatta Maida
32,6,1/2 teaspoon Baking powder
32,7,1/2 teaspoon Baking soda
32,8,3 Cloves (Laung)
32,9,3 Cardamom (Elaichi) Pods/Seeds
32,10,1 pinch Cinnamon Powder (Dalchini)
32,11,1 pinch Nutmeg powder
32,12,5 tablespoons Butter (unsalted)
32,13,1/2 cup Sugar
32,14,2 Whole Eggs
32,15,1-1/2 cups Mixed nuts - I used almond
32,16,1/2 cup Tutti frutti
32,17,1 pinch Salt
33,1,1 Mango (Ripe) - peel & slice
33,2,3 Green Chillies - slit
33,3,1/4 cup Fresh coconut - grated
33,4,1 teaspoon Cumin seeds (Jeera)
33,5,1 tablespoon Jaggery
33,6,1/2 teaspoon Turmeric powder (Haldi)
33,7,1/4 cup Curd (Dahi / Yogurt)
33,8,1 tablespoons Coconut Oil
33,9,2 to 3 Dry Red Chilli
33,10,1 sprig Curry leaves
33,11,1/2 teaspoon Mustard seeds
33,12,Salt - to taste
34,1,2 Seer fish - cleaned and cut
34,2,2 sprig Curry leaves
34,3,1 cup Tamarind Water
34,4,1 teaspoon Turmeric powder (Haldi)
34,5,1 cup Coconut milk
34,6,1 Lemon juice
34,7,Salt - to taste
34,8,Coconut Oil - as required
34,9,1 Onion - sliced
34,10,2 Dry Red Chillies
34,11,4 cloves Garlic
34,12,1 inch Ginger - chopped
34,13,1 Green Chilli - chopped
35,1,2 Mango (Ripe)
35,2,1 cup Coconut milk
35,3,1/4 cup Palm sugar
35,4,1 teaspoons Cardamom Powder (Elaichi)
35,5,3 tablespoons Fresh coconut - or dessicated coconut (grated)
35,6,2 tablespoons Badam (Almond) - sliced or chopped
35,7,1 teaspoon Ghee
36,1,1 cup Guava juice - chilled
36,2,1 cup Papaya juice - chilled
36,3,500 ml Champagne - or Sparkling wine
36,4,1 Lemon - juiced
36,5,1/4 cup Guava - cubes (optional)
36,6,1/4 cup Papaya - cubes (optional)
37,1,100 grams Raisins
37,2,100 grams Glazed Cherries
37,3,100 grams Dried Figs
37,4,100 grams Tutti frutti
37,5,50 grams Badam (Almond)
37,6,50 grams Cashew nuts
37,7,100 ml Rum - or orange juice (adjust)
37,8,100 grams Butter (unsalted)
37,9,125 grams Ghee
37,10,300 grams Caster Sugar
37,11,4 Egg yolks
37,12,1 teaspoon Vanilla Extract
37,13,3 tablespoons Candied orange peel
37,14,1/4 cup Caramel Sauce
37,15,1 Orange
37,16,250 grams All Purpose Flour (Maida)
37,17,1/2 teaspoon Baking powder
37,18,1/4 teaspoon Baking soda
37,19,1 teaspoon Cinnamon Powder (Dalchini)
37,20,1/4 teaspoon Nutmeg powder
37,21,1/2 teaspoon Cloves (Laung) - powdered
37,22,1/2 teaspoon Dry ginger powder
37,23,1/4 cup Milk
37,24,4 Egg whites
37,25,3 tablespoons Lemon juice
37,26,4 tablespoons Sugar
38,1,500 grams Shrimps - cleaned and deveined
38,2,1/2 cup Pearl onions (Sambar Onions)
38,3,1 Tomato - chopped
38,4,1 Green Chilli - slit
38,5,1 inch Ginger
38,6,4 cloves Garlic
38,7,1 inch Cinnamon Stick (Dalchini)
38,8,1 Cardamom (Elaichi) Pods/Seeds
38,9,1 teaspoon Whole Black Peppercorns
38,10,1 sprig Curry leaves
38,11,1 cup Coconut milk
38,12,1 teaspoon Turmeric powder (Haldi)
38,13,1 Lemon juice
38,14,1 teaspoon Sugar
38,15,Salt - to taste
38,16,Coconut Oil - for cooking
39,1,2 cups suran - chopped
39,2,2-1 / 2 cups water
39,3,8 cloves garlic
39,4,1 onion - finely chopped
39,5,1/2 teaspoon turmeric powder
39,6,1-1 / 2 teaspoon red chilli powder
39,7,1/2 teaspoon Black pepper powder
39,8,1/2 teaspoon fennel powder
39,9,1 tablespoon oil
39,10,1 teaspoon mustard
39,11,6 curry leaves
40,1,500 grams Prawns - tiger
40,2,1 cup Fresh coconut - grated
40,3,2 tablespoons Coriander (Dhania) Seeds
40,4,4 Dry Red Chillies
40,5,8 Shallots
40,6,8 cloves Garlic - split lengthwise
40,7,1 teaspoon Methi Seeds (Fenugreek Seeds)
40,8,1-1/2 teaspoon Cumin seeds (Jeera)
40,9,Turmeric powder (Haldi) - a pinch (optional)
40,10,1 teaspoon Mustard seeds
40,11,Curry leaves - Few
40,12,30 grams Tamarind
40,13,Salt - to taste
41,1,2 Brinjal (Baingan / Eggplant) - finely chopped (use the regular small eggplant and not the ones used for baingan bhartha)
41,2,1/4 teaspoon Mustard seeds
41,3,1 Onion - finely chopped
41,4,1 to 2 Green Chillies - slit lengthwise (use as per spice tolerance) 1/2 tablespoon kashmiri chili powder (use as per spice tolerance)
41,5,1 pinch Turmeric powder (Haldi)
41,6,1/2 tablespoon Coriander Powder (Dhania)
41,7,1/2 teaspoon Fennel seeds (Saunf) - in case you don't have fennel seeds you could use cumin seeds
41,8,1/2 teaspoon Methi Seeds (Fenugreek Seeds) - grounded
41,9,1 Tomatoes - finely chopped
41,10,1/2 cup Coconut milk - thick
41,11,Coconut Oil - or vegetable oil as required
41,12,2 sprig Curry leaves
41,13,3 sprig Coriander (Dhania) Leaves - finely chopped (optional)
42,1,1/2 cup Yellow Moong Dal (Split)
42,2,1 Chayote - peeled and diced
42,3,1 Potato (Aloo) - peeled and diced
42,4,2 Carrot (Gajjar) - peeled and diced
42,5,1/4 cup Green peas (Matar)
42,6,2 Green Chillies - slit
42,7,1 teaspoon Turmeric powder (Haldi)
42,8,Salt - to taste
42,9,Curry leaves - a sprig
42,10,1/4 teaspoon Black pepper powder
42,11,1 tablespoon Coconut Oil
43,1,1 cabbage - finely chopped
43,2,1/2 cup green peas - optional
43,3,1 sprig curry leaf
43,4,1/4 tsp rye
43,5,1 red chili
43,6,1 tsp white urad dal
43,7,1/4 tsp turmeric powder
43,8,Salt - as per taste
43,9,1 tsp oil - as per use
43,10,5 tbsp coconut - grated
43,11,6 small onions - chopped
43,12,3 cloves garlic - chopped
43,13,green chili - chopped
43,14,3 sprig curry leaves
44,1,3 carrots - chop
44,2,20 green beans - chop
44,3,1 onion - chop
44,4,3 green chillies - cut straight
44,5,1 teaspoon cumin powder
44,6,1/2 teaspoon turmeric powder
44,7,1 teaspoon salt - as per taste
44,8,1 Tablespoon oil
44,9,1/4 teaspoon mustard
44,10,10 curry leaves
45,1,3 Raw Banana - peeled and thinly sliced
45,2,1/2 tablespoon Paprika powder
45,3,1/4 tablespoon Black pepper powder
45,4,Salt - to taste
45,5,1 tablespoon Extra Virgin Olive Oil - to toss
46,1,3 cups Rice flour
46,2,1 cup Icing Sugar - powdered
46,3,1 teaspoon Fennel seeds (Saunf)
46,4,1 pinch Salt
46,5,1 3/4 cup Coconut milk
46,6,1 Whole Eggs
46,7,Sunflower Oil - for deep frying
47,1,250 grams Mutton
47,2,2 tablespoon Fresh coconut - grated
47,3,2 Onions
47,4,2 Potatoes (Aloo)
47,5,3 Tomatoes
47,6,6 Green Chillies
47,7,8 cloves Garlic
47,8,1 inch Ginger
47,9,1 teaspoon Poppy seeds
47,10,1 inch Cinnamon Stick (Dalchini)
47,11,4 Cloves (Laung)
47,12,1 teaspoon Coriander (Dhania) Seeds
47,13,4 sprig Coriander (Dhania) Leaves - chopped
47,14,Sunflower Oil - as required
48,1,1 cup Red matta rice
48,2,3 1/2 cups Water
48,3,1/2 cup Jaggery
48,4,1 teaspoon Cardamom (Elaichi) Pods/Seeds
48,5,1 cup Coconut milk
48,6,1/4 cup Water
48,7,1 tablespoon Ghee
48,8,12 Cashew nuts
48,9,2 tablespoons Dry coconut (kopra) - cut into small pieces
49,1,2 Mooli/ Mullangi (Radish) - julienned and steamed
49,2,1 teaspoon Coconut Oil
49,3,1 teaspoon Mustard seeds
49,4,1 teaspoon Cumin seeds (Jeera)
49,5,8 Curry leaves
49,6,1/2 teaspoon Turmeric powder (Haldi)
49,7,1/4 cup Fresh coconut - grated
49,8,2 Green Chillies
49,9,2 sprig Curry leaves
49,10,1 inch Ginger
49,11,Salt - to taste
49,12,Sunflower Oil
50,1,500 grams Rice - raw
50,2,2 teaspoon Methi Seeds (Fenugreek Seeds)
50,3,1 cup Fresh coconut - grated
50,4,1 cup Cooked rice
50,5,4 tablespoons Sugar
50,6,1/4 teaspoon Baking soda
50,7,1 teaspoon Salt
51,1,2 cups Curd (Dahi / Yogurt)
51,2,1-1/2 cups Water
51,3,5 Shallots - (pearl onions)
51,4,1 inch Ginger - finely chopped
51,5,3 Garlic - cloves
51,6,1 Green Chilli - finely chopped
51,7,1/2 teaspoon Turmeric powder (Haldi)
51,8,1 teaspoon Mustard seeds
51,9,1/2 teaspoon Methi Seeds (Fenugreek Seeds)
51,10,1 sprig Curry leaves
51,11,2 Dry Red Chillies
51,12,2 teaspoons Coconut Oil
51,13,Salt - to taste
52,1,2 Raw Banana - boiled and diced
52,2,1 teaspoon Coconut Oil
52,3,1 teaspoon Mustard seeds
52,4,2 Dry Red Chillies
52,5,8 Curry leaves
52,6,10 Pearl onions (Sambar Onions) - finely chopped
52,7,2 cloves Garlic - finely chopped
52,8,1/2 teaspoon Turmeric powder (Haldi)
52,9,1/4 cup Fresh coconut - grated
52,10,2 Green Chillies
52,11,1/4 cup Coriander (Dhania) Leaves - roughly chopped
52,12,Salt - to taste
53,1,1 cup Fresh coconut - grated
53,2,3 Shallots
53,3,20 grams Tamarind
53,4,3 Dry Red Chilli
53,5,1/2 inch Ginger
53,6,3 Dry Red Chillies
53,7,1 sprig Curry leaves
53,8,Salt - to taste
54,1,2 cups All Purpose Flour (Maida)
54,2,2 tablespoons Ghee
54,3,1/2 cup Milk
54,4,1/2 teaspoon Sugar
54,5,1 teaspoon Salt - to taste
54,6,Lukewarm Water - as required
55,1,4 Tomatoes - chopped (big pieces)
55,2,Sunflower Oil - as required
55,3,1 tablespoon Mustard seeds
55,4,3 Dry Red Chillies - torn into pieces
55,5,5 Curry leaves
55,6,2 Onions - thinly sliced
55,7,1 tablespoon Ginger Garlic Paste
55,8,2 Green Chillies - chopped
55,9,1/2 tablespoon Kashmiri Red Chilli Powder
55,10,1/2 tablespoon Turmeric powder (Haldi)
55,11,Salt - to taste
55,12,2 tablespoons Coriander (Dhania) Leaves - finely chopped
56,1,500 grams Chicken - curry-cut with bones
56,2,2 teaspoons Red Chilli powder
56,3,1 teaspoon Turmeric powder (Haldi)
56,4,1-1/2 teaspoons Salt
56,5,2 Onions - thinly sliced
56,6,1 sprig Curry leaves
56,7,2 Green Chillies
56,8,1 inch Ginger - crushed or a coarse paste
56,9,6 cloves Garlic - crushed or a coarse paste
56,10,1 Tomato - chopped
56,11,2 tablespoon Red Chilli powder
56,12,1 tablespoon Coriander Powder (Dhania)
56,13,1 teaspoon Turmeric powder (Haldi)
56,14,1 tablespoon Fennel Powder
56,15,1 teaspoon Garam masala powder
56,16,1 cup Coconut milk - thick
56,17,Salt - as per your taste
56,18,2 tablespoons Coconut Oil
57,1,2 cups Kaddu (Parangikai/ Pumpkin) - chopped
57,2,1/2 cup Black Eyed Beans (Lobia)
57,3,1/2 teaspoon Red Chilli powder
57,4,1/2 teaspoon Turmeric powder (Haldi)
57,5,Salt - to taste
57,6,1/2 cup Fresh coconut - grated
57,7,1/2 teaspoon Cumin seeds (Jeera)
57,8,1 Green Chilli
57,9,1 tablespoon Coconut Oil
57,10,1/2 teaspoon Mustard seeds
57,11,1 sprig Curry leaves
57,12,2 Dry Red Chillies
57,13,1 tablespoon Fresh coconut
57,14,4 Pearl onions (Sambar Onions) - sliced
58,1,1 cup Rice
58,2,1/4 cup Cooked rice
58,3,1/2 cup Fresh coconut - grated
58,4,1/4 teaspoon Cumin seeds (Jeera)
58,5,1 teaspoon Active dry yeast - soaked in luke warm water (2 tablespoon)
58,6,5 tablespoon Sugar
58,7,1/4 teaspoon Salt
58,8,2 Cardamom (Elaichi) Pods/Seeds - powdered
58,9,1 tablespoon Ghee
58,10,2 teaspoons Raisins
59,1,500 grams Sardine fish - (mathi
59,2,1 cup Shallots - chopped
59,3,2 Tomatoes - pureed
59,4,1-1/2 teaspoon Ginger Garlic Paste
59,5,1/2 Turmeric powder (Haldi)
59,6,1 tablespoon Red Chilli powder - (add more if you like more spicy)
59,7,1 tablespoon Coriander Powder (Dhania)
59,8,1 teaspoon Fennel Powder
59,9,1-1/2 teaspoon Black pepper powder
59,10,4 Kokum (Malabar Tamarind)
59,11,4 tablespoon Coconut Oil
59,12,1 teaspoon Mustard seeds
59,13,1 sprig Curry leaves
59,14,Salt - to taste
59,15,Water - as required
60,1,2 Mango (Ripe) - peeled and chopped roughly (reserve the seeds)
60,2,Salt - to taste
60,3,1 teaspoon Turmeric powder (Haldi)
60,4,1 teaspoon Red Chilli powder - (add according to taste)
60,5,2 sprig Curry leaves
60,6,2 teaspoons Mustard seeds - ground coarsely using a mortar pestle/ spice grinder
60,7,3 tablespoons Fresh coconut - grated
60,8,1/2 tablespoon Jaggery - powdered
61,1,2 eggs - boiled and cut into pieces
61,2,2 onions - finely chopped
61,3,2 tomatoes - finely chopped
61,4,2 cloves garlic - finely chopped
61,5,1 ginger - finely chopped
61,6,1 sprig curry leaves
61,7,3/4 teaspoon hot Masala powder
61,8,1/4 teaspoon black pepper powder
61,9,1 teaspoon Kashmiri red chilli powder
61,10,1/4 teaspoon coriander powder
61,11,1/4 teaspoon turmeric powder
61,12,coriander leaves - finely chopped
61,13,1/4 cup water
61,14,2 Tablespoon coconut oil
61,15,salt - to taste
62,1,4 Crabs
62,2,6 Fresh coconut - chunks
62,3,5 sprig Coriander (Dhania) Leaves
62,4,1 inch Cinnamon Stick (Dalchini)
62,5,1 Bay leaf (tej patta)
62,6,2 inch Ginger
62,7,4 cloves Garlic
62,8,3/4 cup Onion - fried
62,9,1 Onion - chopped
62,10,2 Tomato - finely chopped
62,11,2 teaspoons Kashmiri Red Chilli Powder - adjustable
62,12,1 teaspoons Red Chilli powder - adjustable
62,13,1 tablespoon Coriander Powder (Dhania)
62,14,1 teaspoon Turmeric powder (Haldi)
62,15,Salt - to taste
62,16,Sunflower Oil - as required
63,1,4 cups Water
63,2,1 tablespoon Dry ginger powder
63,3,1 teaspoon Black pepper powder
63,4,1 tablespoon Instant Coffee Powder
63,5,20 Tulsi (holy basil)
63,6,1 teaspoon Cumin seeds (Jeera)
63,7,4 Cardamom (Elaichi) Pods/Seeds
